sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,selective_sensitivity_ratio_valid,n_features,density,avg_nnz_per_read,mutation_fraction
L100_jittered_00061,100,jittered,ck4,0.9302285322197567,0.9710712280811986,0.373554461304488,0.24053595123723692,-0.13301851006725107,0.6439113332959867,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00062,100,jittered,ck4,0.9415838181383996,0.9644394955982759,0.341807495124377,0.2666852241940835,-0.0751222709302935,0.7802205276307415,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00063,100,jittered,ck4,0.9530936593122107,0.9670779652173587,0.3062885590020943,0.2566009929156222,-0.04968756608647207,0.8377753114632913,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00064,100,jittered,ck4,0.9439543017312366,0.9672708829626405,0.33480053246302827,0.25584806834275603,-0.07895246412027224,0.7641805897396806,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00065,100,jittered,ck4,0.9508196721311472,0.9668009539030813,0.31362502409358994,0.2576782726460219,-0.055946751447568055,0.8216126037478668,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00066,100,jittered,ck4,0.9321165242608549,0.9696744460180748,0.3684656720486861,0.2462744565801541,-0.12219121546853198,0.6683782920966743,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00067,100,jittered,ck4,0.9333333333333336,0.9692432831752371,0.3651483716701108,0.24801901872543158,-0.11712935294467924,0.6792280562310752,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00068,100,jittered,ck4,0.9492875009385814,0.9747784126245671,0.31847291583875337,0.22459558043484742,-0.09387733540390594,0.7052266276500663,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00069,100,jittered,ck4,0.9319195447802635,0.9663073840899002,0.36899987864425254,0.2595866557051809,-0.10941322293907163,0.7034871031907429,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00070,100,jittered,ck4,0.9269843760675933,0.9562686773050008,0.3821403510031527,0.2957408415995297,-0.08639950940362301,0.7739063431097591,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00071,100,jittered,ck4,0.9331477418390661,0.96401286152364,0.3656562816660862,0.26828022094951465,-0.09737606071657157,0.7336950967370651,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00072,100,jittered,ck4,0.9315918503919935,0.9685863874345549,0.3698868735384003,0.2506535958866141,-0.11923327765178615,0.677649340428925,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00073,100,jittered,ck4,0.9056603773584907,0.9631281225496271,0.4343722427630694,0.27155801387686246,-0.16281422888620695,0.6251734966982805,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00074,100,jittered,ck4,0.936378523138852,0.9608664109924712,0.35671130304813187,0.2797627173428538,-0.07694858570527807,0.784283298432808,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00075,100,jittered,ck4,0.9114935734815384,0.9612213656010463,0.42072895436007623,0.2784910569442176,-0.14223789741585863,0.6619251041749651,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00076,100,jittered,ck4,0.9258659068957837,0.9602649006622519,0.3850560819003279,0.28190459144096375,-0.10315149045936417,0.7321130731131653,True,136,0.5069035947712418,68.93888888888888,0.03
