sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features,density,avg_nnz_per_read
L150_right_00229,150,right,ncp_anf,0.9840241347366202,0.9839659478184795,0.17875047000431057,0.17907569450666622,0.00032522450235564215,1.0018194329914087,600,0.6265866666666666,375.952
L150_right_00230,150,right,ncp_anf,0.9823266712211425,0.9824519495311193,0.18800706783978652,0.18733953383565663,-0.0006675340041298883,0.9964494206957223,600,0.6265866666666666,375.952
L150_right_00231,150,right,ncp_anf,0.9832724231445251,0.9835121105899114,0.18290750042287726,0.18159234240510894,-0.0013151580177683253,0.9928097097454849,600,0.6265866666666666,375.952
L150_right_00232,150,right,ncp_anf,0.9807111529364783,0.9814511125270455,0.19641205188848365,0.19260782680334895,-0.0038042250851346993,0.980631407041689,600,0.6265866666666666,375.952
L150_right_00233,150,right,ncp_anf,0.9841802696229269,0.9841730409464504,0.17787484576000495,0.1779154802345752,4.063447457025582e-05,1.0002284441872409,600,0.6265866666666666,375.952
L150_right_00234,150,right,ncp_anf,0.9829125711742307,0.9830808976188848,0.18486443046605414,0.18395163701970565,-0.000912793446348481,0.9950623630297766,600,0.6265866666666666,375.952
L150_right_00235,150,right,ncp_anf,0.9840420700316665,0.984107982202555,0.17865010477653698,0.17828077741274176,-0.0003693273637952188,0.9979326775976024,600,0.6265866666666666,375.952
L150_right_00236,150,right,ncp_anf,0.982702763669763,0.9830073296519372,0.1859958942032668,0.18435113424149405,-0.0016447599617727404,0.9911570093048653,600,0.6265866666666666,375.952
L150_right_00237,150,right,ncp_anf,0.982194449256185,0.9826023702788351,0.1887090392313759,0.1865348746007803,-0.0021741646305956097,0.9884787467550514,600,0.6265866666666666,375.952
L150_right_00238,150,right,ncp_anf,0.9832867909896794,0.9833355963147565,0.18282893102745498,0.18256179055456204,-0.00026714047289294607,0.9985388501076297,600,0.6265866666666666,375.952
L150_right_00239,150,right,ncp_anf,0.9830311881707356,0.9828021980636232,0.18422166989398647,0.18546051836645497,0.0012388484724684956,1.006724770615647,600,0.6265866666666666,375.952
L150_right_00240,150,right,ncp_anf,0.9826085325672441,0.9828313350071782,0.18650183609153215,0.18530334585657385,-0.0011984902349582993,0.9935738421665185,600,0.6265866666666666,375.952
