representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck4,logistic,93,2,136,0.6428571428571429,0.6111111111111112,target_background,Candida,69,substitution_1pct,target_binary
ck4p_msp,logistic,93,2,222,0.6785714285714286,0.6199095022624435,target_background,Candida,69,substitution_1pct,target_binary
pseknc_k3_l3,logistic,93,2,67,0.5714285714285714,0.475,target_background,Candida,69,substitution_1pct,target_binary
ncp_anf,logistic,93,2,276,0.4642857142857143,0.36651583710407243,target_background,Candida,69,substitution_1pct,target_binary
pseeiip,logistic,93,2,64,0.5714285714285714,0.475,target_background,Candida,69,substitution_1pct,target_binary
ck4,logistic,147,5,136,0.15555555555555556,0.13333333333333333,within_genus_species,Enterobacter,69,substitution_1pct,label
ck4p_msp,logistic,147,5,222,0.13333333333333333,0.13056973985766557,within_genus_species,Enterobacter,69,substitution_1pct,label
pseknc_k3_l3,logistic,147,5,67,0.15555555555555556,0.16506265664160397,within_genus_species,Enterobacter,69,substitution_1pct,label
ncp_anf,logistic,147,5,276,0.17777777777777778,0.17820058166807393,within_genus_species,Enterobacter,69,substitution_1pct,label
pseeiip,logistic,147,5,64,0.13333333333333333,0.14059379217273954,within_genus_species,Enterobacter,69,substitution_1pct,label
ck4,logistic,90,2,136,0.6666666666666666,0.6136724960254372,target_background,Enterobacter,69,substitution_1pct,target_binary
ck4p_msp,logistic,90,2,222,0.5555555555555556,0.5397727272727273,target_background,Enterobacter,69,substitution_1pct,target_binary
pseknc_k3_l3,logistic,90,2,67,0.48148148148148145,0.4166666666666667,target_background,Enterobacter,69,substitution_1pct,target_binary
ncp_anf,logistic,90,2,276,0.6666666666666666,0.5846153846153846,target_background,Enterobacter,69,substitution_1pct,target_binary
pseeiip,logistic,90,2,64,0.5555555555555556,0.5,target_background,Enterobacter,69,substitution_1pct,target_binary
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,69,substitution_1pct,label
ck4p_msp,logistic,59,2,222,0.6111111111111112,0.5785953177257526,within_genus_species,Escherichia,69,substitution_1pct,label
pseknc_k3_l3,logistic,59,2,67,0.5555555555555556,0.4461538461538461,within_genus_species,Escherichia,69,substitution_1pct,label
ncp_anf,logistic,59,2,276,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,69,substitution_1pct,label
pseeiip,logistic,59,2,64,0.5555555555555556,0.4461538461538461,within_genus_species,Escherichia,69,substitution_1pct,label
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,target_background,Escherichia,69,substitution_1pct,target_binary
ck4p_msp,logistic,59,2,222,0.6111111111111112,0.5785953177257526,target_background,Escherichia,69,substitution_1pct,target_binary
pseknc_k3_l3,logistic,59,2,67,0.5555555555555556,0.4461538461538461,target_background,Escherichia,69,substitution_1pct,target_binary
ncp_anf,logistic,59,2,276,0.5555555555555556,0.5324675324675324,target_background,Escherichia,69,substitution_1pct,target_binary
pseeiip,logistic,59,2,64,0.5555555555555556,0.4461538461538461,target_background,Escherichia,69,substitution_1pct,target_binary
ck4,logistic,87,3,136,0.3333333333333333,0.2752136752136752,within_genus_species,Klebsiella,69,substitution_1pct,label
ck4p_msp,logistic,87,3,222,0.4074074074074074,0.3927053338818045,within_genus_species,Klebsiella,69,substitution_1pct,label
pseknc_k3_l3,logistic,87,3,67,0.48148148148148145,0.46230158730158727,within_genus_species,Klebsiella,69,substitution_1pct,label
ncp_anf,logistic,87,3,276,0.25925925925925924,0.2412820512820513,within_genus_species,Klebsiella,69,substitution_1pct,label
pseeiip,logistic,87,3,64,0.5185185185185185,0.5026184386798197,within_genus_species,Klebsiella,69,substitution_1pct,label
ck4,logistic,87,2,136,0.5925925925925926,0.5714285714285714,target_background,Klebsiella,69,substitution_1pct,target_binary
ck4p_msp,logistic,87,2,222,0.6296296296296297,0.6029411764705883,target_background,Klebsiella,69,substitution_1pct,target_binary
pseknc_k3_l3,logistic,87,2,67,0.5925925925925926,0.5533834586466165,target_background,Klebsiella,69,substitution_1pct,target_binary
ncp_anf,logistic,87,2,276,0.4444444444444444,0.41558441558441556,target_background,Klebsiella,69,substitution_1pct,target_binary
pseeiip,logistic,87,2,64,0.5555555555555556,0.5397727272727273,target_background,Klebsiella,69,substitution_1pct,target_binary
ck4,logistic,116,4,136,0.2571428571428571,0.24287330316742084,within_genus_species,Acinetobacter,69,N_3pct,label
ck4p_msp,logistic,116,4,222,0.2,0.1963815789473684,within_genus_species,Acinetobacter,69,N_3pct,label
pseknc_k3_l3,logistic,116,4,67,0.22857142857142856,0.21623931623931622,within_genus_species,Acinetobacter,69,N_3pct,label
ncp_anf,logistic,116,4,276,0.2571428571428571,0.24583333333333332,within_genus_species,Acinetobacter,69,N_3pct,label
pseeiip,logistic,116,4,64,0.17142857142857143,0.17413273001508295,within_genus_species,Acinetobacter,69,N_3pct,label
ck4,logistic,72,3,136,0.3181818181818182,0.2626262626262626,within_genus_species,Burkholderia,69,N_3pct,label
ck4p_msp,logistic,72,3,222,0.3181818181818182,0.30582750582750584,within_genus_species,Burkholderia,69,N_3pct,label
pseknc_k3_l3,logistic,72,3,67,0.4090909090909091,0.39031339031339035,within_genus_species,Burkholderia,69,N_3pct,label
ncp_anf,logistic,72,3,276,0.13636363636363635,0.11851851851851851,within_genus_species,Burkholderia,69,N_3pct,label
pseeiip,logistic,72,3,64,0.4090909090909091,0.39031339031339035,within_genus_species,Burkholderia,69,N_3pct,label
ck4,logistic,72,2,136,0.45454545454545453,0.3125,target_background,Burkholderia,69,N_3pct,target_binary
ck4p_msp,logistic,72,2,222,0.5454545454545454,0.5089285714285714,target_background,Burkholderia,69,N_3pct,target_binary
pseknc_k3_l3,logistic,72,2,67,0.5,0.44367816091954027,target_background,Burkholderia,69,N_3pct,target_binary
ncp_anf,logistic,72,2,276,0.5,0.39950372208436724,target_background,Burkholderia,69,N_3pct,target_binary
pseeiip,logistic,72,2,64,0.5454545454545454,0.5089285714285714,target_background,Burkholderia,69,N_3pct,target_binary
ck4,logistic,119,4,136,0.3333333333333333,0.35,within_genus_species,Candida,69,N_3pct,label
ck4p_msp,logistic,119,4,222,0.3055555555555556,0.32073412698412695,within_genus_species,Candida,69,N_3pct,label
pseknc_k3_l3,logistic,119,4,67,0.25,0.27095959595959596,within_genus_species,Candida,69,N_3pct,label
ncp_anf,logistic,119,4,276,0.25,0.2439194577352472,within_genus_species,Candida,69,N_3pct,label
pseeiip,logistic,119,4,64,0.25,0.26297819827231594,within_genus_species,Candida,69,N_3pct,label
ck4,logistic,93,2,136,0.6071428571428571,0.5809523809523809,target_background,Candida,69,N_3pct,target_binary
ck4p_msp,logistic,93,2,222,0.7142857142857143,0.672514619883041,target_background,Candida,69,N_3pct,target_binary
pseknc_k3_l3,logistic,93,2,67,0.5357142857142857,0.4509803921568627,target_background,Candida,69,N_3pct,target_binary
ncp_anf,logistic,93,2,276,0.5,0.4555555555555556,target_background,Candida,69,N_3pct,target_binary
pseeiip,logistic,93,2,64,0.5357142857142857,0.4509803921568627,target_background,Candida,69,N_3pct,target_binary
ck4,logistic,147,5,136,0.13333333333333333,0.1257516339869281,within_genus_species,Enterobacter,69,N_3pct,label
ck4p_msp,logistic,147,5,222,0.17777777777777778,0.18383131030189853,within_genus_species,Enterobacter,69,N_3pct,label
pseknc_k3_l3,logistic,147,5,67,0.13333333333333333,0.1411064425770308,within_genus_species,Enterobacter,69,N_3pct,label
ncp_anf,logistic,147,5,276,0.2,0.1862531328320802,within_genus_species,Enterobacter,69,N_3pct,label
pseeiip,logistic,147,5,64,0.15555555555555556,0.15842245989304815,within_genus_species,Enterobacter,69,N_3pct,label
ck4,logistic,90,2,136,0.6296296296296297,0.555921052631579,target_background,Enterobacter,69,N_3pct,target_binary
ck4p_msp,logistic,90,2,222,0.6666666666666666,0.6136724960254372,target_background,Enterobacter,69,N_3pct,target_binary
pseknc_k3_l3,logistic,90,2,67,0.5555555555555556,0.4214285714285714,target_background,Enterobacter,69,N_3pct,target_binary
ncp_anf,logistic,90,2,276,0.7407407407407407,0.6454033771106942,target_background,Enterobacter,69,N_3pct,target_binary
pseeiip,logistic,90,2,64,0.6296296296296297,0.5178571428571428,target_background,Enterobacter,69,N_3pct,target_binary
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,69,N_3pct,label
ck4p_msp,logistic,59,2,222,0.5,0.4857142857142857,within_genus_species,Escherichia,69,N_3pct,label
pseknc_k3_l3,logistic,59,2,67,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,69,N_3pct,label
ncp_anf,logistic,59,2,276,0.5,0.4581939799331104,within_genus_species,Escherichia,69,N_3pct,label
pseeiip,logistic,59,2,64,0.5,0.4581939799331104,within_genus_species,Escherichia,69,N_3pct,label
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,target_background,Escherichia,69,N_3pct,target_binary
ck4p_msp,logistic,59,2,222,0.5,0.4857142857142857,target_background,Escherichia,69,N_3pct,target_binary
pseknc_k3_l3,logistic,59,2,67,0.5555555555555556,0.5324675324675324,target_background,Escherichia,69,N_3pct,target_binary
ncp_anf,logistic,59,2,276,0.5,0.4581939799331104,target_background,Escherichia,69,N_3pct,target_binary
pseeiip,logistic,59,2,64,0.5,0.4581939799331104,target_background,Escherichia,69,N_3pct,target_binary
ck4,logistic,87,3,136,0.37037037037037035,0.3003508771929824,within_genus_species,Klebsiella,69,N_3pct,label
ck4p_msp,logistic,87,3,222,0.25925925925925924,0.2111111111111111,within_genus_species,Klebsiella,69,N_3pct,label
pseknc_k3_l3,logistic,87,3,67,0.5185185185185185,0.5140056022408963,within_genus_species,Klebsiella,69,N_3pct,label
ncp_anf,logistic,87,3,276,0.2222222222222222,0.19873015873015873,within_genus_species,Klebsiella,69,N_3pct,label
pseeiip,logistic,87,3,64,0.5185185185185185,0.5137254901960784,within_genus_species,Klebsiella,69,N_3pct,label
ck4,logistic,87,2,136,0.5555555555555556,0.5397727272727273,target_background,Klebsiella,69,N_3pct,target_binary
ck4p_msp,logistic,87,2,222,0.5925925925925926,0.5903448275862069,target_background,Klebsiella,69,N_3pct,target_binary
pseknc_k3_l3,logistic,87,2,67,0.5185185185185185,0.5077138849929874,target_background,Klebsiella,69,N_3pct,target_binary
ncp_anf,logistic,87,2,276,0.48148148148148145,0.4166666666666667,target_background,Klebsiella,69,N_3pct,target_binary
pseeiip,logistic,87,2,64,0.48148148148148145,0.475,target_background,Klebsiella,69,N_3pct,target_binary
ck4,logistic,116,4,136,0.3142857142857143,0.31209150326797386,within_genus_species,Acinetobacter,69,trim_5bp,label
ck4p_msp,logistic,116,4,222,0.3142857142857143,0.29975842011445725,within_genus_species,Acinetobacter,69,trim_5bp,label
pseknc_k3_l3,logistic,116,4,67,0.22857142857142856,0.23514492753623187,within_genus_species,Acinetobacter,69,trim_5bp,label
ncp_anf,logistic,116,4,276,0.22857142857142856,0.2284719150818222,within_genus_species,Acinetobacter,69,trim_5bp,label
pseeiip,logistic,116,4,64,0.22857142857142856,0.23990683229813664,within_genus_species,Acinetobacter,69,trim_5bp,label
ck4,logistic,72,3,136,0.2727272727272727,0.23558897243107768,within_genus_species,Burkholderia,69,trim_5bp,label
ck4p_msp,logistic,72,3,222,0.2727272727272727,0.2452214452214452,within_genus_species,Burkholderia,69,trim_5bp,label
pseknc_k3_l3,logistic,72,3,67,0.36363636363636365,0.3568627450980392,within_genus_species,Burkholderia,69,trim_5bp,label
ncp_anf,logistic,72,3,276,0.18181818181818182,0.1693121693121693,within_genus_species,Burkholderia,69,trim_5bp,label
pseeiip,logistic,72,3,64,0.36363636363636365,0.3568627450980392,within_genus_species,Burkholderia,69,trim_5bp,label
ck4,logistic,72,2,136,0.45454545454545453,0.3125,target_background,Burkholderia,69,trim_5bp,target_binary
ck4p_msp,logistic,72,2,222,0.5454545454545454,0.47619047619047616,target_background,Burkholderia,69,trim_5bp,target_binary
pseknc_k3_l3,logistic,72,2,67,0.5454545454545454,0.5299145299145299,target_background,Burkholderia,69,trim_5bp,target_binary
ncp_anf,logistic,72,2,276,0.45454545454545453,0.37142857142857144,target_background,Burkholderia,69,trim_5bp,target_binary
pseeiip,logistic,72,2,64,0.5909090909090909,0.5831578947368421,target_background,Burkholderia,69,trim_5bp,target_binary
ck4,logistic,119,4,136,0.3333333333333333,0.341535657325131,within_genus_species,Candida,69,trim_5bp,label
ck4p_msp,logistic,119,4,222,0.3055555555555556,0.3287399533316049,within_genus_species,Candida,69,trim_5bp,label
pseknc_k3_l3,logistic,119,4,67,0.25,0.26323529411764707,within_genus_species,Candida,69,trim_5bp,label
ncp_anf,logistic,119,4,276,0.19444444444444445,0.17424242424242425,within_genus_species,Candida,69,trim_5bp,label
pseeiip,logistic,119,4,64,0.2777777777777778,0.297360248447205,within_genus_species,Candida,69,trim_5bp,label
ck4,logistic,93,2,136,0.6071428571428571,0.561877667140825,target_background,Candida,69,trim_5bp,target_binary
ck4p_msp,logistic,93,2,222,0.6428571428571429,0.5625,target_background,Candida,69,trim_5bp,target_binary
pseknc_k3_l3,logistic,93,2,67,0.5357142857142857,0.4822190611664296,target_background,Candida,69,trim_5bp,target_binary
ncp_anf,logistic,93,2,276,0.5357142857142857,0.4509803921568627,target_background,Candida,69,trim_5bp,target_binary
pseeiip,logistic,93,2,64,0.5357142857142857,0.4822190611664296,target_background,Candida,69,trim_5bp,target_binary
ck4,logistic,147,5,136,0.2222222222222222,0.2188167388167388,within_genus_species,Enterobacter,69,trim_5bp,label
ck4p_msp,logistic,147,5,222,0.2222222222222222,0.2106817846755927,within_genus_species,Enterobacter,69,trim_5bp,label
pseknc_k3_l3,logistic,147,5,67,0.24444444444444444,0.22485357779475423,within_genus_species,Enterobacter,69,trim_5bp,label
ncp_anf,logistic,147,5,276,0.08888888888888889,0.08550275945618521,within_genus_species,Enterobacter,69,trim_5bp,label
pseeiip,logistic,147,5,64,0.17777777777777778,0.1632289279348103,within_genus_species,Enterobacter,69,trim_5bp,label
ck4,logistic,90,2,136,0.6666666666666666,0.6345864661654135,target_background,Enterobacter,69,trim_5bp,target_binary
ck4p_msp,logistic,90,2,222,0.5925925925925926,0.5714285714285714,target_background,Enterobacter,69,trim_5bp,target_binary
pseknc_k3_l3,logistic,90,2,67,0.4444444444444444,0.35612082670906203,target_background,Enterobacter,69,trim_5bp,target_binary
ncp_anf,logistic,90,2,276,0.6666666666666666,0.5846153846153846,target_background,Enterobacter,69,trim_5bp,target_binary
pseeiip,logistic,90,2,64,0.48148148148148145,0.3782894736842105,target_background,Enterobacter,69,trim_5bp,target_binary
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,69,trim_5bp,label
ck4p_msp,logistic,59,2,222,0.5555555555555556,0.5555555555555556,within_genus_species,Escherichia,69,trim_5bp,label
pseknc_k3_l3,logistic,59,2,67,0.6111111111111112,0.5785953177257526,within_genus_species,Escherichia,69,trim_5bp,label
ncp_anf,logistic,59,2,276,0.6666666666666666,0.6625,within_genus_species,Escherichia,69,trim_5bp,label
pseeiip,logistic,59,2,64,0.5555555555555556,0.5,within_genus_species,Escherichia,69,trim_5bp,label
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,target_background,Escherichia,69,trim_5bp,target_binary
ck4p_msp,logistic,59,2,222,0.5555555555555556,0.5555555555555556,target_background,Escherichia,69,trim_5bp,target_binary
pseknc_k3_l3,logistic,59,2,67,0.6111111111111112,0.5785953177257526,target_background,Escherichia,69,trim_5bp,target_binary
ncp_anf,logistic,59,2,276,0.6666666666666666,0.6625,target_background,Escherichia,69,trim_5bp,target_binary
pseeiip,logistic,59,2,64,0.5555555555555556,0.5,target_background,Escherichia,69,trim_5bp,target_binary
ck4,logistic,87,3,136,0.4074074074074074,0.36816465716721475,within_genus_species,Klebsiella,69,trim_5bp,label
ck4p_msp,logistic,87,3,222,0.2962962962962963,0.27833519137866963,within_genus_species,Klebsiella,69,trim_5bp,label
pseknc_k3_l3,logistic,87,3,67,0.4444444444444444,0.41523809523809524,within_genus_species,Klebsiella,69,trim_5bp,label
ncp_anf,logistic,87,3,276,0.25925925925925924,0.2412820512820513,within_genus_species,Klebsiella,69,trim_5bp,label
pseeiip,logistic,87,3,64,0.4074074074074074,0.36996336996337,within_genus_species,Klebsiella,69,trim_5bp,label
ck4,logistic,87,2,136,0.48148148148148145,0.4630681818181818,target_background,Klebsiella,69,trim_5bp,target_binary
ck4p_msp,logistic,87,2,222,0.5555555555555556,0.5397727272727273,target_background,Klebsiella,69,trim_5bp,target_binary
pseknc_k3_l3,logistic,87,2,67,0.5925925925925926,0.5714285714285714,target_background,Klebsiella,69,trim_5bp,target_binary
ncp_anf,logistic,87,2,276,0.4074074074074074,0.33333333333333337,target_background,Klebsiella,69,trim_5bp,target_binary
