length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets
100,center,ncp_anf,0.1959851270911706,0.19505575272592363,-0.0009293743652469594,-0.0012241138068682994,-0.0006714869138338902,0.9953499716124263,0.9937787307488202,0.996650328468708,0.9807811119039181,0.9809639255785273,400,0.6233333333333333,249.33333333333334,250
100,center,pseeiip,0.2632981805907184,0.19988707386729818,-0.06341110672342018,-0.0683940693246021,-0.058483388948764314,0.7716597128933586,0.7552491320114757,0.7881471617397388,0.964741896388965,0.9797277409459815,64,0.785625,50.28,250
100,jittered,ck4,0.3672232522909847,0.2676402429305549,-0.0995830093604298,-0.10420210002682512,-0.09488170294951068,0.7354499842091886,0.7253215754748961,0.7473236250442268,0.931903248378687,0.9639783646619492,136,0.5067549019607843,68.91866666666667,250
100,jittered,ck4p_msp,0.21233931960126554,0.1552293666119699,-0.05710995298929561,-0.05980724962926936,-0.054373604788085235,0.7376575134512874,0.7272923378248035,0.7495596218013131,0.9772333466798986,0.9878821872518454,222,0.6257597597597597,138.91866666666667,250
100,jittered,pseknc_k3_l3,0.17575887697087123,0.13478453182666367,-0.040974345144207544,-0.043404848604689586,-0.03839465122225032,0.773510465041746,0.7600791827595198,0.7877275327904731,0.9843871545277577,0.9908120737176944,67,0.7991641791044776,53.544,250
100,jittered,ncp_anf,0.19565802210661973,0.19472248999899325,-0.0009355321076264882,-0.0012437428005900395,-0.000650537120633446,0.9953448039875454,0.9939074792826009,0.9969493957794705,0.9808448293174836,0.9810294453627397,400,0.6244666666666666,249.78666666666666,250
100,jittered,pseeiip,0.26425410692114043,0.20227468220404057,-0.06197942471709984,-0.06649551898185652,-0.057603980908479305,0.7747749540382559,0.7582554356981711,0.7922405498295861,0.9646162051006357,0.9791946555946823,64,0.78975,50.544,250
100,left,ck4,0.36636149292745007,0.268254641950286,-0.09810685097716412,-0.10240798061419587,-0.09369125223424858,0.7377642898798755,0.7274173692348898,0.7473059569534698,0.9322618548633981,0.9637789749464734,136,0.5071078431372549,68.96666666666667,250
100,left,ck4p_msp,0.21182297920438584,0.15550662518118522,-0.056316354023200586,-0.058808225340344175,-0.05377250530712651,0.7396826875036414,0.7293281872364371,0.7493333105913559,0.9773567369352254,0.9878279755191686,222,0.625975975975976,138.96666666666667,250
100,left,pseknc_k3_l3,0.17644543238510857,0.13472154278417844,-0.04172388960093015,-0.04421947428200507,-0.03900727206501725,0.7702211403155995,0.7570806572612135,0.7831374075266522,0.9842580464385761,0.9908046864033284,67,0.7980298507462686,53.468,250
100,left,ncp_anf,0.19608506522045838,0.19600500043097768,-8.00647894806873e-05,-0.0003414490916855565,0.0001747533204693319,0.9996466956708889,0.998345437762921,1.000931237377658,0.9807613621028572,0.9807769489539474,400,0.62218,248.872,250
100,left,pseeiip,0.2637120198579569,0.20124566134299898,-0.06246635851495793,-0.06654949255793116,-0.0581505556775266,0.7711589250606816,0.7565993855509194,0.7847214614766485,0.9647733615422399,0.9794277022794101,64,0.7885625,50.468,250
100,right,ck4,0.36582897469832987,0.26906864423475063,-0.09676033046357926,-0.10126302999648797,-0.09219176033603385,0.7409280160651595,0.7302828800281148,0.7512102440791629,0.9325486042967608,0.9635852109733191,136,0.5071960784313726,68.97866666666667,250
100,right,ck4p_msp,0.21151656623910817,0.15596974348221784,-0.055546822756890324,-0.058145367961722046,-0.05289602651056662,0.7427924096565068,0.7321292990002278,0.7529993886698773,0.977452237806552,0.987764486977469,222,0.62603003003003,138.97866666666667,250
100,right,pseknc_k3_l3,0.1768521886425119,0.1356052795019633,-0.04124690914054858,-0.044007785023168836,-0.03852911637140288,0.7753430692772829,0.7611753344131393,0.7900487196532957,0.9841669787881759,0.9907069563876023,67,0.7969154228855722,53.39333333333333,250
100,right,ncp_anf,0.19533306136972706,0.19405790771492698,-0.0012751536548001106,-0.0015252103666815763,-0.0010100815956226705,0.9935451187365218,0.9922208750530852,0.9948826518682502,0.98090595446306,0.9811551118096147,400,0.62558,250.232,250
100,right,pseeiip,0.2638703237058364,0.20081644676229873,-0.06305387694353767,-0.06785333038108725,-0.058500127501133294,0.7716104278634218,0.7549194274910718,0.7881469606466178,0.9646988631498365,0.9795561523906191,64,0.7873958333333333,50.39333333333333,250
150,center,ck4,0.30994381648640296,0.21010735792032448,-0.09983645856607846,-0.10397654748408522,-0.09604787052971885,0.6827213930854918,0.6717479590822646,0.6926238509281021,0.9515757639637977,0.9777123072475499,136,0.6526862745098039,88.76533333333333,250
150,center,ck4p_msp,0.17916978484237348,0.12179577919949844,-0.05737400564287503,-0.0597038917129632,-0.055182196943363786,0.6846013066834197,0.6739512004969246,0.6943117899711101,0.9838187854484943,0.9925161206190771,222,0.7151591591591592,158.76533333333333,250
150,center,pseknc_k3_l3,0.13768238986229675,0.0998428723040282,-0.037839517558268566,-0.039899049850369864,-0.035882606965418735,0.733578221333955,0.7198570491932674,0.7458548485413974,0.9903898924946861,0.9949634450212962,67,0.9025870646766169,60.473333333333336,250
150,center,ncp_anf,0.18446667489284216,0.18366354082204542,-0.0008031340707967513,-0.0010192176722086165,-0.0006022251022638044,0.9957197953523395,0.9945774651437446,0.9968490627660668,0.982975520538249,0.9831245966019075,600,0.6253333333333333,375.2,250
150,center,pseeiip,0.21499699565534455,0.15505704999549375,-0.05993994565985082,-0.06351940700830731,-0.05656982806646583,0.7307356038962339,0.7165814356505991,0.7436331133436703,0.9765430985872977,0.987845771385919,64,0.8980208333333334,57.473333333333336,250
150,jittered,ck4,0.3122571830953348,0.21255531130394198,-0.0997018717913928,-0.10328403342832479,-0.09590821252915221,0.6853379732135616,0.6745473740588659,0.6953746197969438,0.9508643519531704,0.9772410487402082,136,0.6525490196078432,88.74666666666667,250
150,jittered,ck4p_msp,0.18049840290225802,0.12317928201522643,-0.057319120887031616,-0.0593941810471209,-0.055128361921684764,0.6870603570106542,0.6761298097024621,0.6970928880284626,0.9835825416400575,0.9923563176872275,222,0.7150750750750751,158.74666666666667,250
