split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std
5fold_grouped_cv,logistic,0.9399999999999998,0.9398941496896447,100,jittered,ck4,500,136,0.012649110640673493,0.01266953387134547
holdout,nearest_centroid,0.9464285714285714,0.9463354037267081,100,jittered,ck4p_msp,500,222,,
holdout,logistic,0.9940476190476191,0.9940474081422952,100,jittered,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.9400000000000001,0.9397416615785469,100,jittered,ck4p_msp,500,222,0.018973665961010258,0.01919784442931051
5fold_grouped_cv,logistic,0.9719999999999999,0.9719827877102197,100,jittered,ck4p_msp,500,222,0.007483314773547889,0.00748791839453844
holdout,nearest_centroid,0.9583333333333334,0.9583200425305688,100,jittered,pseknc_k3_l3,500,67,,
holdout,logistic,0.9464285714285714,0.9463810773431682,100,jittered,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.884,0.8833616066611659,100,jittered,pseknc_k3_l3,500,67,0.023323807579381222,0.0238556686968596
5fold_grouped_cv,logistic,0.908,0.9077498346022548,100,jittered,pseknc_k3_l3,500,67,0.036551333764994115,0.03677878841198228
holdout,nearest_centroid,0.8511904761904762,0.8509316770186335,100,jittered,ncp_anf,500,400,,
holdout,logistic,0.9464285714285714,0.9462743843939878,100,jittered,ncp_anf,500,400,,
5fold_grouped_cv,nearest_centroid,0.922,0.9219905947355821,100,jittered,ncp_anf,500,400,0.029257477676655562,0.029251756347840663
5fold_grouped_cv,logistic,0.9639999999999999,0.9639422908130835,100,jittered,ncp_anf,500,400,0.01019803902718558,0.010236816721638998
holdout,nearest_centroid,0.9047619047619048,0.9047484053862509,100,jittered,pseeiip,500,64,,
holdout,logistic,0.9166666666666666,0.9166666666666666,100,jittered,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.8799999999999999,0.8793288368746861,100,jittered,pseeiip,500,64,0.014142135623730963,0.014681410786534085
5fold_grouped_cv,logistic,0.876,0.8758403293784822,100,jittered,pseeiip,500,64,0.03498571136907183,0.035078775209289294
holdout,nearest_centroid,0.9345238095238095,0.9344657611972056,100,left,ck4,500,136,,
holdout,logistic,0.9464285714285714,0.9464114832535885,100,left,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.9360000000000002,0.9357356069320353,100,left,ck4,500,136,0.01743559577416266,0.0175774632789022
5fold_grouped_cv,logistic,0.9440000000000002,0.9439410771899801,100,left,ck4,500,136,0.025768197453450225,0.02582148443660233
holdout,nearest_centroid,0.9464285714285714,0.9463810773431682,100,left,ck4p_msp,500,222,,
holdout,logistic,0.9940476190476191,0.9940474081422952,100,left,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.942,0.941799430492696,100,left,ck4p_msp,500,222,0.017204650534085226,0.017311289427981595
5fold_grouped_cv,logistic,0.9880000000000001,0.9879975992797361,100,left,ck4p_msp,500,222,0.0040000000000000036,0.004002801240508269
holdout,nearest_centroid,0.8809523809523809,0.8808848553601816,100,left,pseknc_k3_l3,500,67,,
holdout,logistic,0.9226190476190477,0.9226163058498389,100,left,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.906,0.9056987022893409,100,left,pseknc_k3_l3,500,67,0.03611094017053557,0.03629193929885715
5fold_grouped_cv,logistic,0.9299999999999999,0.9299645555930605,100,left,pseknc_k3_l3,500,67,0.025298221281347014,0.025309189633230807
holdout,nearest_centroid,1.0,1.0,100,left,ncp_anf,500,400,,
holdout,logistic,0.9702380952380952,0.9702117096350934,100,left,ncp_anf,500,400,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,left,ncp_anf,500,400,0.0,0.0
5fold_grouped_cv,logistic,0.976,0.9759783733222873,100,left,ncp_anf,500,400,0.01019803902718558,0.010219805769999783
holdout,nearest_centroid,0.8392857142857143,0.8392344497607656,100,left,pseeiip,500,64,,
holdout,logistic,0.9345238095238095,0.9345214895652483,100,left,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.882,0.8815223885515829,100,left,pseeiip,500,64,0.034292856398964525,0.03455211535512492
5fold_grouped_cv,logistic,0.908,0.9078930122959983,100,left,pseeiip,500,64,0.02315167380558044,0.023194083803654137
holdout,nearest_centroid,0.9285714285714286,0.9283174512871568,100,right,ck4,500,136,,
holdout,logistic,0.9761904761904762,0.9761904761904762,100,right,ck4,500,136,,
5fold_grouped_cv,nearest_centroid,0.932,0.9315302358077409,100,right,ck4,500,136,0.02993325909419151,0.03040347711577873
5fold_grouped_cv,logistic,0.9559999999999998,0.9559209725139108,100,right,ck4,500,136,0.013564659966250548,0.013628137278632336
holdout,nearest_centroid,0.9345238095238095,0.9343353587037629,100,right,ck4p_msp,500,222,,
holdout,logistic,1.0,1.0,100,right,ck4p_msp,500,222,,
5fold_grouped_cv,nearest_centroid,0.938,0.9376077011400851,100,right,ck4p_msp,500,222,0.02785677655436821,0.028253066999242356
5fold_grouped_cv,logistic,0.99,0.989997799299738,100,right,ck4p_msp,500,222,0.006324555320336764,0.006327086325664201
holdout,nearest_centroid,0.7916666666666666,0.7907696687186422,100,right,pseknc_k3_l3,500,67,,
holdout,logistic,0.875,0.8744618012311853,100,right,pseknc_k3_l3,500,67,,
5fold_grouped_cv,nearest_centroid,0.876,0.8751976510308394,100,right,pseknc_k3_l3,500,67,0.01743559577416271,0.017439692185324655
5fold_grouped_cv,logistic,0.914,0.9138500381135792,100,right,pseknc_k3_l3,500,67,0.018547236990991395,0.01867991320413515
holdout,nearest_centroid,1.0,1.0,100,right,ncp_anf,500,400,,
holdout,logistic,0.8690476190476191,0.86676279740447,100,right,ncp_anf,500,400,,
5fold_grouped_cv,nearest_centroid,1.0,1.0,100,right,ncp_anf,500,400,0.0,0.0
5fold_grouped_cv,logistic,0.966,0.9658225418549258,100,right,ncp_anf,500,400,0.03382306905057552,0.034077874677901784
holdout,nearest_centroid,0.8333333333333334,0.8329545454545455,100,right,pseeiip,500,64,,
holdout,logistic,0.8809523809523809,0.8808848553601816,100,right,pseeiip,500,64,,
5fold_grouped_cv,nearest_centroid,0.8380000000000001,0.8373352465300629,100,right,pseeiip,500,64,0.02481934729198169,0.024478915397118377
5fold_grouped_cv,logistic,0.898,0.8977001003078747,100,right,pseeiip,500,64,0.02227105745132011,0.022477440988660023
holdout,nearest_centroid,0.9583333333333334,0.9582608695652174,150,center,ck4,500,136,,
