panel,representation,cell_1,cell_2,value,metric
A,ncp_anf,150,trim_5bp,0.1787823008648943,standardized_drift
A,pseeiip,150,trim_5bp,0.0895252275998741,standardized_drift
A,ck4,150,substitution_1pct_N_3pct,0.2653525779095499,standardized_drift
A,ck4p_msp,150,substitution_1pct_N_3pct,0.1579400966576081,standardized_drift
A,pseknc_k3_l3,150,substitution_1pct_N_3pct,0.1283590497043011,standardized_drift
A,ncp_anf,150,substitution_1pct_N_3pct,0.1960159730852089,standardized_drift
A,pseeiip,150,substitution_1pct_N_3pct,0.1822146192677508,standardized_drift
A,ck4,150,short_indel,0.1205766845142117,standardized_drift
A,ck4p_msp,150,short_indel,0.0698003691671709,standardized_drift
A,pseknc_k3_l3,150,short_indel,0.0539417625496913,standardized_drift
A,ncp_anf,150,short_indel,0.5045139418810842,standardized_drift
A,pseeiip,150,short_indel,0.0783286175847879,standardized_drift
A,ck4,150,local_mismatch_6bp,0.2142611872220511,standardized_drift
A,ck4p_msp,150,local_mismatch_6bp,0.1242256517062183,standardized_drift
A,pseknc_k3_l3,150,local_mismatch_6bp,0.1107370167537031,standardized_drift
A,ncp_anf,150,local_mismatch_6bp,0.2261693811246926,standardized_drift
A,pseeiip,150,local_mismatch_6bp,0.1612711100378078,standardized_drift
B,ck4,69,center,0.7955806043950258,grouped_local_change_macro_f1
B,ck4p_msp,69,center,0.9739745690981656,grouped_local_change_macro_f1
B,pseknc_k3_l3,69,center,0.8175276279758336,grouped_local_change_macro_f1
B,ncp_anf,69,center,0.965949706461526,grouped_local_change_macro_f1
B,pseeiip,69,center,0.7934109860428896,grouped_local_change_macro_f1
B,ck4,69,jittered,0.7255860642268139,grouped_local_change_macro_f1
B,ck4p_msp,69,jittered,0.8976557023065943,grouped_local_change_macro_f1
B,pseknc_k3_l3,69,jittered,0.7611906882456974,grouped_local_change_macro_f1
B,ncp_anf,69,jittered,0.9296690552884506,grouped_local_change_macro_f1
B,pseeiip,69,jittered,0.751652296050722,grouped_local_change_macro_f1
B,ck4,69,left,0.7711475392004168,grouped_local_change_macro_f1
B,ck4p_msp,69,left,0.9839911938351078,grouped_local_change_macro_f1
B,pseknc_k3_l3,69,left,0.8094625316850452,grouped_local_change_macro_f1
B,ncp_anf,69,left,0.9759603161702796,grouped_local_change_macro_f1
B,pseeiip,69,left,0.7685794324239792,grouped_local_change_macro_f1
B,ck4,69,right,0.7497843183730689,grouped_local_change_macro_f1
B,ck4p_msp,69,right,0.981987389610986,grouped_local_change_macro_f1
B,pseknc_k3_l3,69,right,0.7929206030458502,grouped_local_change_macro_f1
B,ncp_anf,69,right,0.9538314568685856,grouped_local_change_macro_f1
B,pseeiip,69,right,0.7737251572149177,grouped_local_change_macro_f1
B,ck4,100,center,0.9118676515654874,grouped_local_change_macro_f1
B,ck4p_msp,100,center,0.97798578897073,grouped_local_change_macro_f1
B,pseknc_k3_l3,100,center,0.8877071332395976,grouped_local_change_macro_f1
B,ncp_anf,100,center,0.9739601161502778,grouped_local_change_macro_f1
B,pseeiip,100,center,0.8573666934269077,grouped_local_change_macro_f1
B,ck4,100,jittered,0.9398941496896448,grouped_local_change_macro_f1
B,ck4p_msp,100,jittered,0.9719827877102196,grouped_local_change_macro_f1
B,pseknc_k3_l3,100,jittered,0.9077498346022548,grouped_local_change_macro_f1
B,ncp_anf,100,jittered,0.9639422908130836,grouped_local_change_macro_f1
B,pseeiip,100,jittered,0.8758403293784822,grouped_local_change_macro_f1
B,ck4,100,left,0.94394107718998,grouped_local_change_macro_f1
B,ck4p_msp,100,left,0.987997599279736,grouped_local_change_macro_f1
B,pseknc_k3_l3,100,left,0.9299645555930603,grouped_local_change_macro_f1
B,ncp_anf,100,left,0.9759783733222872,grouped_local_change_macro_f1
B,pseeiip,100,left,0.9078930122959984,grouped_local_change_macro_f1
B,ck4,100,right,0.9559209725139108,grouped_local_change_macro_f1
B,ck4p_msp,100,right,0.989997799299738,grouped_local_change_macro_f1
B,pseknc_k3_l3,100,right,0.9138500381135792,grouped_local_change_macro_f1
B,ncp_anf,100,right,0.9658225418549258,grouped_local_change_macro_f1
B,pseeiip,100,right,0.8977001003078747,grouped_local_change_macro_f1
B,ck4,150,center,0.9679442335490932,grouped_local_change_macro_f1
B,ck4p_msp,150,center,0.987992794475364,grouped_local_change_macro_f1
