retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
0.24,0.9999158842745871,0.99964370788653,0.00915105744128417,0.026692952198021827,-7.98409340293199e-05,0.24,75,mid,23.08,23.521440880307278,23.946666666666665,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.8913658120032218,0.7576130550898845,0.4253627891306633,0.6962554736895917,0.49553902225519747,1.0,75,high,23.946666666666665,24.575272500778574,27.0,ckmer5_count_l2,canonical 5-mer,400,517,0.11934235976789168,61.7
1.0,0.8198115589364263,0.6056338028169015,0.5496730577289846,0.8881060715737717,0.6889472444882934,1.0,75,high,23.946666666666665,24.575272500778574,27.0,ckmer7_count_l2,canonical 7-mer,400,7653,0.008812557167124004,67.4425
1.0,0.9336959469240688,0.8479697679638838,0.331086911040167,0.551415236329987,0.3099843009217672,1.0,75,high,23.946666666666665,24.575272500778574,27.0,cspaced_count_l2,canonical spaced count,400,140,0.35726785714285714,50.0175
1.0,0.9926774454754599,0.9829638247237114,0.11007780327043198,0.1845869692949321,0.035012574918118385,1.0,75,high,23.946666666666665,24.575272500778574,27.0,cspaced_property_l2,CSP,400,151,0.39746688741721853,60.0175
1.0,0.942021628739341,0.8713230286618138,0.31090340317368875,0.5072997003397532,0.27294951459552924,1.0,75,high,23.946666666666665,24.575272500778574,27.0,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,668,0.1822118263473054,121.7175
0.9875,0.8992821330862968,0.772435926253049,0.40593665700196335,0.6746273374012883,0.1819111591445181,0.9875,75,high,23.946666666666665,24.575272500778574,27.0,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9985970415589617,0.9962590510581117,0.04402537326304271,0.08649794249082782,0.015054131496363006,1.0,75,high,23.946666666666665,24.575272500778574,27.0,eiip_l2,EIIP positional signal,400,75,0.9999666666666667,74.9975
0.25,0.9999174541875298,0.9996174830082307,0.008982641172113469,0.027657756456681712,-8.025655998717408e-05,0.25,75,high,23.946666666666665,24.575272500778574,27.0,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.7301361240648532,0.5954908176689568,0.7265225765053159,0.8994542477539031,0.3280033221104381,1.0,100,low,26.91,30.330575479566306,31.06,ckmer5_count_l2,canonical 5-mer,400,512,0.1585888671875,81.1975
1.0,0.5636690557787916,0.386120498006191,0.9265593447467962,1.108042861428768,0.4490063036670549,1.0,100,low,26.91,30.330575479566306,31.06,ckmer7_count_l2,canonical 7-mer,400,8082,0.011339550853749072,91.64625
1.0,0.8426428896765124,0.759036020930813,0.5534994536284996,0.6942103126126624,0.18604247807827826,1.0,100,low,26.91,30.330575479566306,31.06,cspaced_count_l2,canonical spaced count,400,136,0.4611764705882353,62.72
1.0,0.9829361536930744,0.97309287775204,0.1822832450830577,0.23197890187720346,0.020698782878777685,1.0,100,low,26.91,30.330575479566306,31.06,cspaced_property_l2,CSP,400,147,0.4946938775510204,72.72
1.0,0.856536138878964,0.7867533618089514,0.5298175878340022,0.6530645234615169,0.18064970857020612,1.0,100,low,26.91,30.330575479566306,31.06,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.23356221547799697,153.9175
0.7975,0.7829875212086701,0.667044905040665,0.6496744528779678,0.8160327851324214,0.06275059828529944,0.7975,100,low,26.91,30.330575479566306,31.06,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9962352144465677,0.9933677147361171,0.08407734022571688,0.11517191472018866,0.013702993308311907,1.0,100,low,26.91,30.330575479566306,31.06,eiip_l2,EIIP positional signal,400,100,1.0,100.0
0.04,0.9996669383730412,0.9986195527628187,0.019792153268425646,0.05254421439951195,-0.00031560131954107144,0.04,100,low,26.91,30.330575479566306,31.06,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.7927089501913219,0.6828595365092093,0.6347998844189167,0.796417406698401,0.38195962864570776,1.0,100,mid,31.06,31.542226855713093,32.02,ckmer5_count_l2,canonical 5-mer,400,512,0.15755126953125,80.66625
1.0,0.6568354326447428,0.49454980685384686,0.8195205011560699,1.0054349930438065,0.5352422144119798,1.0,100,mid,31.06,31.542226855713093,32.02,ckmer7_count_l2,canonical 7-mer,400,8012,0.011420681477783325,91.5025
1.0,0.8835276160240091,0.8089372446140702,0.47423265139969145,0.6181627702649201,0.22006895302661328,1.0,100,mid,31.06,31.542226855713093,32.02,cspaced_count_l2,canonical spaced count,400,136,0.45417279411764705,61.7675
1.0,0.9872246634964013,0.9791710038220978,0.15702171034598483,0.20410265838436115,0.02457278107477488,1.0,100,mid,31.06,31.542226855713093,32.02,cspaced_property_l2,CSP,400,147,0.4882142857142857,71.7675
1.0,0.8899668068438618,0.8307252080790742,0.46256126002609355,0.5818499692418481,0.20952747967431765,1.0,100,mid,31.06,31.542226855713093,32.02,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.2313106980273141,152.43375
0.9125,0.8261396853585873,0.7167865601942224,0.5782449168203199,0.7526133639434496,0.0997595599636752,0.9125,100,mid,31.06,31.542226855713093,32.02,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9972817825246874,0.9950951126811556,0.07089800491122994,0.09904430641894361,0.013754320782437702,1.0,100,mid,31.06,31.542226855713093,32.02,eiip_l2,EIIP positional signal,400,100,1.0,100.0
0.045,0.9996791922274827,0.9987857847936907,0.019360929873083972,0.04927684329246244,-0.0003079225391483964,0.045,100,mid,31.06,31.542226855713093,32.02,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.8416180299819871,0.728343572527664,0.5503273825048368,0.7370962381677687,0.42810356826012597,1.0,100,high,32.03,32.70516680567139,35.31,ckmer5_count_l2,canonical 5-mer,400,512,0.1571533203125,80.4625
1.0,0.7329591846757653,0.5579256477065686,0.717275647576216,0.9402918188450127,0.6105371151944469,1.0,100,high,32.03,32.70516680567139,35.31,ckmer7_count_l2,canonical 7-mer,400,8022,0.011401458489154824,91.4625
1.0,0.9118276702424837,0.8408687639250816,0.40904806205079297,0.5641475457522758,0.2500990813581555,1.0,100,high,32.03,32.70516680567139,35.31,cspaced_count_l2,canonical spaced count,400,136,0.45348345588235295,61.67375
1.0,0.9903632463711322,0.9826820955724621,0.13544216138418827,0.18610696015328504,0.02872774929575601,1.0,100,high,32.03,32.70516680567139,35.31,cspaced_property_l2,CSP,400,147,0.48759353741496597,71.67625
1.0,0.9159906381765595,0.8552308777047097,0.40111189168743977,0.5380874275756828,0.23483279409745958,1.0,100,high,32.03,32.70516680567139,35.31,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.23086305007587254,152.13875
0.975,0.8549954563148401,0.743173806249313,0.5239466419154791,0.716695293464606,0.130940252581741,0.975,100,high,32.03,32.70516680567139,35.31,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.997441758804069,0.9952672088172272,0.06250878131812683,0.09729120771709424,0.015917542287090598,1.0,100,high,32.03,32.70516680567139,35.31,eiip_l2,EIIP positional signal,400,100,0.9979625,99.79625
0.0575,0.9997728589517837,0.9990450495859997,0.016132302063612745,0.043702367497910184,0.00020322024515145144,0.0575,100,high,32.03,32.70516680567139,35.31,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.9919587833522294,0.9655064320117959,0.06272094849691494,0.2626539622522972,0.5276789781355369,1.0,125,low,35.168,36.27193723849373,36.544,ckmer5_count_l2,canonical 5-mer,400,512,0.1895751953125,97.0625
1.0,0.9844453111523767,0.9411764705882338,0.08725964636770357,0.3429971702850175,0.8456499099339757,1.0,125,low,35.168,36.27193723849373,36.544,ckmer7_count_l2,canonical 7-mer,400,7889,0.01459754087970592,115.16
1.0,0.9958347810071413,0.9803013318608695,0.04480203793847419,0.1984875944905802,0.2940681165706878,1.0,125,low,35.168,36.27193723849373,36.544,cspaced_count_l2,canonical spaced count,400,136,0.5195036764705883,70.6525
1.0,0.9995532468118091,0.9979469791432605,0.01468775008287313,0.06407824617435402,0.03186277534393647,1.0,125,low,35.168,36.27193723849373,36.544,cspaced_property_l2,CSP,400,147,0.548656462585034,80.6525
1.0,0.9957560150820193,0.9817122772725663,0.045575835674028786,0.19124703424406062,0.2853460242575752,1.0,125,low,35.168,36.27193723849373,36.544,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.2696737481031867,177.715
1.0,0.9918148957541988,0.9518997613527522,0.05877828108699126,0.31015897148043947,0.24668368958953021,1.0,125,low,35.168,36.27193723849373,36.544,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
