task,representation,length,condition,n,paired_cosine_mean,paired_cosine_median,paired_cosine_p05,l2_delta_mean,l2_delta_p95,group,classifier,n_classes,accuracy,macro_f1,auroc
motif_position,kmer5_count_l2,100,clean,240,,,,,,toy_motif,logistic_regression,3.0,0.3888888888888889,0.3864394242545503,
motif_position,kmer5_count_l2,100,N_3pct,240,,,,,,toy_motif,nearest_centroid,3.0,0.3472222222222222,0.34722222222222215,
motif_position,kmer5_count_l2,100,N_3pct,240,,,,,,toy_motif,logistic_regression,3.0,0.3888888888888889,0.3888125301616972,
rc_consistency,kmer5_count_l2,100,reverse_complement,1680,0.15126487731536242,0.13461538461538455,0.0338983050847458,,,close_relative_wgs,,,,,
perturbation_stability,kmer5_count_l2,100,N_3pct,1680,0.9362545476053442,,0.9203612072586804,0.3553030491762736,0.39909596024344585,close_relative_wgs,,,,,
perturbation_stability,kmer5_count_l2,100,substitution_1pct,1680,0.9570368347007346,,0.8754691678653039,0.22803357684305636,0.49906075916428927,close_relative_wgs,,,,,
close_relative_species,kmer5_count_l2,100,clean,120,,,,,,Acinetobacter,nearest_centroid,4.0,0.2222222222222222,0.22095959595959597,
close_relative_species,kmer5_count_l2,100,clean,120,,,,,,Acinetobacter,logistic_regression,4.0,0.19444444444444445,0.18958333333333333,
close_relative_species,kmer5_count_l2,100,clean,90,,,,,,Burkholderia,nearest_centroid,3.0,0.4074074074074074,0.4013772175536881,
close_relative_species,kmer5_count_l2,100,clean,90,,,,,,Burkholderia,logistic_regression,3.0,0.3333333333333333,0.34188948306595374,
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Burkholderia,nearest_centroid,2.0,0.6296296296296297,0.5178571428571428,0.6358024691358024
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Burkholderia,logistic_regression,2.0,0.6296296296296297,0.5178571428571428,0.5987654320987654
close_relative_species,kmer5_count_l2,100,clean,120,,,,,,Candida,nearest_centroid,4.0,0.3333333333333333,0.31313131313131315,
close_relative_species,kmer5_count_l2,100,clean,120,,,,,,Candida,logistic_regression,4.0,0.2222222222222222,0.20655080213903743,
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Candida,nearest_centroid,2.0,0.6666666666666666,0.5440900562851783,0.28395061728395066
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Candida,logistic_regression,2.0,0.5185185185185185,0.34146341463414637,0.29629629629629634
close_relative_species,kmer5_count_l2,100,clean,150,,,,,,Enterobacter,nearest_centroid,5.0,0.15555555555555556,0.15559290382819796,
close_relative_species,kmer5_count_l2,100,clean,150,,,,,,Enterobacter,logistic_regression,5.0,0.15555555555555556,0.15610475464022372,
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Enterobacter,nearest_centroid,2.0,0.37037037037037035,0.2702702702702703,0.3580246913580247
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Enterobacter,logistic_regression,2.0,0.48148148148148145,0.325,0.32098765432098764
close_relative_species,kmer5_count_l2,100,clean,60,,,,,,Escherichia,nearest_centroid,2.0,0.5,0.4984520123839009,0.6049382716049383
close_relative_species,kmer5_count_l2,100,clean,60,,,,,,Escherichia,logistic_regression,2.0,0.6111111111111112,0.609907120743034,0.5802469135802468
close_relative_target_binary,kmer5_count_l2,100,clean,60,,,,,,Escherichia,nearest_centroid,2.0,0.2777777777777778,0.27554179566563464,0.3950617283950617
close_relative_target_binary,kmer5_count_l2,100,clean,60,,,,,,Escherichia,logistic_regression,2.0,0.5,0.4984520123839009,0.38271604938271603
close_relative_species,kmer5_count_l2,100,clean,90,,,,,,Klebsiella,nearest_centroid,3.0,0.4444444444444444,0.42940685045948196,
close_relative_species,kmer5_count_l2,100,clean,90,,,,,,Klebsiella,logistic_regression,3.0,0.4074074074074074,0.4102740511409242,
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Klebsiella,nearest_centroid,2.0,0.7777777777777778,0.7107142857142856,0.6790123456790124
close_relative_target_binary,kmer5_count_l2,100,clean,90,,,,,,Klebsiella,logistic_regression,2.0,0.7037037037037037,0.6142857142857143,0.6604938271604939
close_relative_species,kmer5_count_l2,100,N_3pct,120,,,,,,Acinetobacter,nearest_centroid,4.0,0.2222222222222222,0.21312103788883974,
close_relative_species,kmer5_count_l2,100,N_3pct,120,,,,,,Acinetobacter,logistic_regression,4.0,0.2222222222222222,0.2260061919504644,
close_relative_species,kmer5_count_l2,100,N_3pct,90,,,,,,Burkholderia,nearest_centroid,3.0,0.4444444444444444,0.4398148148148148,
close_relative_species,kmer5_count_l2,100,N_3pct,90,,,,,,Burkholderia,logistic_regression,3.0,0.4444444444444444,0.44536177043916975,
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Burkholderia,nearest_centroid,2.0,0.6666666666666666,0.6136724960254372,0.7037037037037037
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Burkholderia,logistic_regression,2.0,0.6296296296296297,0.555921052631579,0.7098765432098766
close_relative_species,kmer5_count_l2,100,N_3pct,120,,,,,,Candida,nearest_centroid,4.0,0.3611111111111111,0.3470238095238095,
close_relative_species,kmer5_count_l2,100,N_3pct,120,,,,,,Candida,logistic_regression,4.0,0.3611111111111111,0.3658730158730159,
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Candida,nearest_centroid,2.0,0.7037037037037037,0.6142857142857143,0.32407407407407407
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Candida,logistic_regression,2.0,0.6296296296296297,0.38636363636363635,0.3271604938271605
close_relative_species,kmer5_count_l2,100,N_3pct,150,,,,,,Enterobacter,nearest_centroid,5.0,0.15555555555555556,0.16190476190476188,
close_relative_species,kmer5_count_l2,100,N_3pct,150,,,,,,Enterobacter,logistic_regression,5.0,0.1111111111111111,0.11019607843137255,
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Enterobacter,nearest_centroid,2.0,0.5555555555555556,0.5,0.5061728395061729
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Enterobacter,logistic_regression,2.0,0.48148148148148145,0.325,0.47530864197530864
close_relative_species,kmer5_count_l2,100,N_3pct,60,,,,,,Escherichia,nearest_centroid,2.0,0.5,0.4857142857142857,0.6666666666666667
close_relative_species,kmer5_count_l2,100,N_3pct,60,,,,,,Escherichia,logistic_regression,2.0,0.5555555555555556,0.55,0.654320987654321
close_relative_target_binary,kmer5_count_l2,100,N_3pct,60,,,,,,Escherichia,nearest_centroid,2.0,0.4444444444444444,0.4444444444444444,0.49382716049382713
close_relative_target_binary,kmer5_count_l2,100,N_3pct,60,,,,,,Escherichia,logistic_regression,2.0,0.4444444444444444,0.4444444444444444,0.5061728395061729
close_relative_species,kmer5_count_l2,100,N_3pct,90,,,,,,Klebsiella,nearest_centroid,3.0,0.4444444444444444,0.44078947368421045,
close_relative_species,kmer5_count_l2,100,N_3pct,90,,,,,,Klebsiella,logistic_regression,3.0,0.3333333333333333,0.3333333333333333,
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Klebsiella,nearest_centroid,2.0,0.8148148148148148,0.7467166979362101,0.6666666666666667
close_relative_target_binary,kmer5_count_l2,100,N_3pct,90,,,,,,Klebsiella,logistic_regression,2.0,0.8148148148148148,0.7467166979362101,0.6790123456790124
rc_consistency,kmer5_count_l2,125,reverse_complement,1680,0.17938325691912094,0.16296296296296292,0.05673758865248224,,,close_relative_wgs,,,,,
perturbation_stability,kmer5_count_l2,125,N_3pct,1680,0.9345929273686825,,0.9178887105958817,0.360029669325673,0.40524385104309335,close_relative_wgs,,,,,
perturbation_stability,kmer5_count_l2,125,substitution_1pct,1680,0.9580619132955861,,0.892048401885143,0.24115649703327763,0.4646537097958148,close_relative_wgs,,,,,
close_relative_species,kmer5_count_l2,125,clean,120,,,,,,Acinetobacter,nearest_centroid,4.0,0.3055555555555556,0.29733187134502925,
close_relative_species,kmer5_count_l2,125,clean,120,,,,,,Acinetobacter,logistic_regression,4.0,0.2777777777777778,0.2711189739053516,
close_relative_species,kmer5_count_l2,125,clean,90,,,,,,Burkholderia,nearest_centroid,3.0,0.4074074074074074,0.40614608416466,
close_relative_species,kmer5_count_l2,125,clean,90,,,,,,Burkholderia,logistic_regression,3.0,0.3333333333333333,0.3277777777777778,
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Burkholderia,nearest_centroid,2.0,0.7407407407407407,0.676923076923077,0.7962962962962963
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Burkholderia,logistic_regression,2.0,0.6296296296296297,0.5178571428571428,0.7962962962962963
close_relative_species,kmer5_count_l2,125,clean,120,,,,,,Candida,nearest_centroid,4.0,0.2777777777777778,0.24999999999999997,
close_relative_species,kmer5_count_l2,125,clean,120,,,,,,Candida,logistic_regression,4.0,0.2222222222222222,0.20085251491901107,
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Candida,nearest_centroid,2.0,0.5925925925925926,0.5533834586466165,0.47530864197530864
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Candida,logistic_regression,2.0,0.6666666666666666,0.5440900562851783,0.5864197530864197
close_relative_species,kmer5_count_l2,125,clean,150,,,,,,Enterobacter,nearest_centroid,5.0,0.28888888888888886,0.301809767385215,
close_relative_species,kmer5_count_l2,125,clean,150,,,,,,Enterobacter,logistic_regression,5.0,0.24444444444444444,0.2461764705882353,
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Enterobacter,nearest_centroid,2.0,0.7037037037037037,0.5090909090909091,0.5432098765432098
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Enterobacter,logistic_regression,2.0,0.7037037037037037,0.5090909090909091,0.46296296296296297
close_relative_species,kmer5_count_l2,125,clean,60,,,,,,Escherichia,nearest_centroid,2.0,0.6111111111111112,0.6,0.7283950617283951
close_relative_species,kmer5_count_l2,125,clean,60,,,,,,Escherichia,logistic_regression,2.0,0.6666666666666666,0.6625,0.7037037037037037
close_relative_target_binary,kmer5_count_l2,125,clean,60,,,,,,Escherichia,nearest_centroid,2.0,0.6111111111111112,0.5785953177257526,0.7777777777777778
close_relative_target_binary,kmer5_count_l2,125,clean,60,,,,,,Escherichia,logistic_regression,2.0,0.5555555555555556,0.55,0.654320987654321
close_relative_species,kmer5_count_l2,125,clean,90,,,,,,Klebsiella,nearest_centroid,3.0,0.3333333333333333,0.33814929480564154,
close_relative_species,kmer5_count_l2,125,clean,90,,,,,,Klebsiella,logistic_regression,3.0,0.48148148148148145,0.4678362573099415,
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Klebsiella,nearest_centroid,2.0,0.5185185185185185,0.4419713831478538,0.5493827160493827
close_relative_target_binary,kmer5_count_l2,125,clean,90,,,,,,Klebsiella,logistic_regression,2.0,0.6296296296296297,0.5178571428571428,0.5617283950617284
close_relative_species,kmer5_count_l2,125,N_3pct,120,,,,,,Acinetobacter,nearest_centroid,4.0,0.3333333333333333,0.3282618310482088,
close_relative_species,kmer5_count_l2,125,N_3pct,120,,,,,,Acinetobacter,logistic_regression,4.0,0.3055555555555556,0.2984176126590987,
close_relative_species,kmer5_count_l2,125,N_3pct,90,,,,,,Burkholderia,nearest_centroid,3.0,0.5185185185185185,0.5174865267744524,
close_relative_species,kmer5_count_l2,125,N_3pct,90,,,,,,Burkholderia,logistic_regression,3.0,0.4444444444444444,0.4444444444444444,
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Burkholderia,nearest_centroid,2.0,0.6666666666666666,0.5846153846153846,0.7901234567901234
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Burkholderia,logistic_regression,2.0,0.6296296296296297,0.46428571428571425,0.7716049382716049
close_relative_species,kmer5_count_l2,125,N_3pct,120,,,,,,Candida,nearest_centroid,4.0,0.2222222222222222,0.20186335403726707,
close_relative_species,kmer5_count_l2,125,N_3pct,120,,,,,,Candida,logistic_regression,4.0,0.19444444444444445,0.20277777777777778,
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Candida,nearest_centroid,2.0,0.5555555555555556,0.5,0.4537037037037037
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Candida,logistic_regression,2.0,0.5925925925925926,0.49230769230769234,0.5493827160493827
close_relative_species,kmer5_count_l2,125,N_3pct,150,,,,,,Enterobacter,nearest_centroid,5.0,0.3111111111111111,0.31180035650623883,
close_relative_species,kmer5_count_l2,125,N_3pct,150,,,,,,Enterobacter,logistic_regression,5.0,0.3111111111111111,0.31128936423054065,
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Enterobacter,nearest_centroid,2.0,0.6666666666666666,0.4862579281183932,0.4814814814814815
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Enterobacter,logistic_regression,2.0,0.7037037037037037,0.5090909090909091,0.4814814814814815
close_relative_species,kmer5_count_l2,125,N_3pct,60,,,,,,Escherichia,nearest_centroid,2.0,0.6666666666666666,0.6625,0.654320987654321
close_relative_species,kmer5_count_l2,125,N_3pct,60,,,,,,Escherichia,logistic_regression,2.0,0.7222222222222222,0.7142857142857142,0.6296296296296297
close_relative_target_binary,kmer5_count_l2,125,N_3pct,60,,,,,,Escherichia,nearest_centroid,2.0,0.5555555555555556,0.5,0.691358024691358
close_relative_target_binary,kmer5_count_l2,125,N_3pct,60,,,,,,Escherichia,logistic_regression,2.0,0.5555555555555556,0.5324675324675324,0.6790123456790124
close_relative_species,kmer5_count_l2,125,N_3pct,90,,,,,,Klebsiella,nearest_centroid,3.0,0.37037037037037035,0.37105836486641436,
close_relative_species,kmer5_count_l2,125,N_3pct,90,,,,,,Klebsiella,logistic_regression,3.0,0.4074074074074074,0.3883040935672515,
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Klebsiella,nearest_centroid,2.0,0.48148148148148145,0.3782894736842105,0.5185185185185186
close_relative_target_binary,kmer5_count_l2,125,N_3pct,90,,,,,,Klebsiella,logistic_regression,2.0,0.6296296296296297,0.46428571428571425,0.5617283950617284
rc_consistency,kmer5_count_l2,150,reverse_complement,1680,0.20143180479414047,0.18823529411764722,0.07434536755110921,,,close_relative_wgs,,,,,
