representation,representation_label,probe_scaling,n_features,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
ck4,CK4,train_zscore,136,100,clean,2486,0.9018503620273531,0.9018503620273532,0.8057224569219708,0.9017272228281402,0.9538474184313896,0.940122221127043,0.8891826511629167,0.9130369550648678,0.9017272228281402,0.0,1.0
ck4,CK4,train_zscore,136,100,substitution_1pct,2486,0.9006436041834271,0.9006436041834271,0.8023850368275869,0.9005756341796294,0.9529581262471287,0.9375749959503799,0.888539053554283,0.9122735793607522,0.9017272228281402,-0.0011515886485108373,0.9987229079711056
ck4_p,CK4+P,contract,147,69,N_3pct,2486,0.8825422365245374,0.8825422365245374,0.7655642626850364,0.8825054303315173,0.9454127344828546,0.9255231112313427,0.8700130929217672,0.8957962115288799,0.8942550158617801,-0.01174958553026284,0.9868610348034337
ck4_p,CK4+P,contract,147,69,clean,2486,0.8849557522123894,0.8849557522123894,0.7718482395138399,0.8848114169215087,0.9473647761333136,0.9267797381567904,0.8719298503029532,0.8976709875556286,0.8942550158617801,-0.00944359894027147,0.9894397025761484
ck4_p,CK4+P,contract,147,69,substitution_1pct,2486,0.8833467417538214,0.8833467417538214,0.767912136618496,0.8832541792328659,0.9457803603639756,0.9250068136406826,0.8707021000057452,0.8957826018439264,0.8942550158617801,-0.011000836628914268,0.9876983227001384
ck4_p,CK4+P,contract,147,75,N_3pct,2486,0.8809332260659695,0.8809332260659695,0.7629427041312489,0.8808492447990881,0.9478967980950765,0.928817324242619,0.8671788618489663,0.8933587073793724,0.8942550158617801,-0.013405771062692029,0.9850090065754084
ck4_p,CK4+P,contract,147,75,clean,2486,0.8881737731295254,0.8881737731295254,0.7786733582693025,0.8880067671585389,0.9502235851419598,0.9310134323095548,0.8761503221624508,0.9008659582355792,0.8942550158617801,-0.006248248703241255,0.99301290057935
ck4_p,CK4+P,contract,147,75,substitution_1pct,2486,0.8901850362027354,0.8901850362027353,0.7817944945020079,0.8900849953786263,0.9497310441286975,0.9325965402746135,0.8771817118081393,0.9009494373517022,0.8942550158617801,-0.004170020483153847,0.9953368777259413
ck4_p,CK4+P,contract,147,100,N_3pct,2486,0.8901850362027354,0.8901850362027353,0.7833879034592958,0.8899735178894074,0.9553748780783005,0.9410842576713472,0.8774078261159755,0.9017165796848279,0.8942550158617801,-0.004281497972372761,0.9952122181073295
ck4_p,CK4+P,contract,147,100,clean,2486,0.8946098149637972,0.8946098149637973,0.7945695736066084,0.8942550158617801,0.957852469403883,0.9441631452852448,0.8826535811557998,0.9061173109052896,0.8942550158617801,0.0,1.0
ck4_p,CK4+P,contract,147,100,substitution_1pct,2486,0.8954143201930812,0.8954143201930813,0.7953259250521001,0.8951186251900931,0.9568492649747679,0.9434102795736873,0.8838237079028722,0.906415561959095,0.8942550158617801,0.0008636093283129753,1.00096573048291
ck4_p,CK4+P,train_zscore,147,69,N_3pct,2486,0.6765888978278359,0.6765888978278358,0.43265932829872705,0.6471562695951327,0.9270631546313418,0.9009094445256008,0.6306022397192633,0.6652612469391929,0.9013484873148573,-0.25419221771972456,0.7179867484140675
ck4_p,CK4+P,train_zscore,147,69,clean,2486,0.8793242156074015,0.8793242156074015,0.7630956001921306,0.8789725813989718,0.942603114852668,0.9203983768505732,0.866447884446178,0.8918635574653736,0.9013484873148573,-0.022375905915885452,0.9751750779739544
ck4_p,CK4+P,train_zscore,147,69,substitution_1pct,2486,0.8740949316170555,0.8740949316170554,0.7514126701394183,0.8738249296129331,0.9402795639491044,0.9197413691912402,0.8611322478985717,0.8862913553431238,0.9013484873148573,-0.02752355770192416,0.9694640218635995
ck4_p,CK4+P,train_zscore,147,75,N_3pct,2486,0.6975060337892196,0.6975060337892196,0.46840036653920186,0.6739656210389586,0.9302546391732559,0.9060339139787543,0.6543427818317058,0.6918562011476835,0.9013484873148573,-0.22738286627589865,0.747730351272593
ck4_p,CK4+P,train_zscore,147,75,clean,2486,0.8769106999195495,0.8769106999195495,0.7579782434810133,0.8765731842183144,0.9434807569209779,0.9208372780493943,0.8640055022463895,0.8894923091642223,0.9013484873148573,-0.024775303096542856,0.9725130696448505
ck4_p,CK4+P,train_zscore,147,75,substitution_1pct,2486,0.8785197103781175,0.8785197103781175,0.7601314005928336,0.8782726392474802,0.9420037811098547,0.9202152545297768,0.8653442468966663,0.890417664839431,0.9013484873148573,-0.02307584806737706,0.9743985279920748
ck4_p,CK4+P,train_zscore,147,100,N_3pct,2486,0.6242960579243765,0.6242960579243765,0.3640121424041349,0.5664600095747883,0.942699551923596,0.9257390554167426,0.5484627533354686,0.5843806112315457,0.9013484873148573,-0.334888477740069,0.6284583793581201
ck4_p,CK4+P,train_zscore,147,100,clean,2486,0.9014481094127111,0.9014481094127111,0.8045227391193716,0.9013484873148573,0.9560376402301805,0.9423745737292069,0.8892420373039228,0.9129911178867878,0.9013484873148573,0.0,1.0
ck4_p,CK4+P,train_zscore,147,100,substitution_1pct,2486,0.8978278358809332,0.8978278358809333,0.7965232702577746,0.897772191311015,0.9548829842937021,0.9410497747991822,0.8856399973076305,0.9090814216075948,0.9013484873148573,-0.0035762960038422387,0.996032282680702
ck4_msp,CK4+MSP,contract,211,69,N_3pct,2486,0.8833467417538214,0.8833467417538214,0.7674180067303285,0.8832916753004558,0.9452735803201063,0.9252549439850869,0.8688032525301697,0.8961865115431809,0.8938464283586216,-0.010554753058165778,0.9881917601018471
ck4_msp,CK4+MSP,contract,211,69,clean,2486,0.8845534995977474,0.8845534995977473,0.7710861019040047,0.8844053448687883,0.9472832253216564,0.9266195325861762,0.8719134892898115,0.8968011655522778,0.8938464283586216,-0.009441083489833302,0.9894376895288712
ck4_msp,CK4+MSP,contract,211,69,substitution_1pct,2486,0.8833467417538214,0.8833467417538214,0.767912136618496,0.8832541792328659,0.9457318182141796,0.924962482929593,0.8703652816136657,0.8949647351646342,0.8938464283586216,-0.010592249125755737,0.9881498109857569
ck4_msp,CK4+MSP,contract,211,75,N_3pct,2486,0.8817377312952535,0.8817377312952535,0.7653093909182511,0.881596034214619,0.947773177420263,0.9285946424768338,0.8687728657409658,0.8937465528420996,0.8938464283586216,-0.012250394144002641,0.9862947439791216
ck4_msp,CK4+MSP,contract,211,75,clean,2486,0.8881737731295254,0.8881737731295254,0.7786733582693025,0.8880067671585389,0.9501633928762131,0.9308577944762517,0.8751074067911081,0.8996868354599108,0.8938464283586216,-0.005839661200082724,0.9934668182197627
ck4_msp,CK4+MSP,contract,211,75,substitution_1pct,2486,0.8893805309734514,0.8893805309734513,0.7801075512687432,0.8892850647633382,0.9496423738017369,0.9323874933068308,0.8771801345264917,0.9010146248082566,0.8938464283586216,-0.004561363595283363,0.9948969269769758
ck4_msp,CK4+MSP,contract,211,100,N_3pct,2486,0.8905872888173774,0.8905872888173774,0.7850908744834723,0.8903143968518139,0.9552227793422733,0.940863685711404,0.8777758684002117,0.9024282551678038,0.8938464283586216,-0.003532031506807698,0.9960485029701427
ck4_msp,CK4+MSP,contract,211,100,clean,2486,0.8942075623491552,0.8942075623491552,0.7938348713915397,0.8938464283586216,0.9577204347564382,0.9439373332849282,0.8817478735928796,0.9060381392651636,0.8938464283586216,0.0,1.0
ck4_msp,CK4+MSP,contract,211,100,substitution_1pct,2486,0.8950120675784392,0.8950120675784392,0.7945857668996873,0.8947107078336787,0.9567586529618155,0.9432508772994689,0.8837153547436019,0.9071288264256636,0.8938464283586216,0.0008642794750570726,1.0009669216630916
ck4_msp,CK4+MSP,train_zscore,211,69,N_3pct,2486,0.8628318584070797,0.8628318584070797,0.726275295390718,0.862774105456897,0.9326105515100167,0.9058723037549556,0.8478998408890835,0.8756596799247562,0.8985608435451695,-0.035786738088272485,0.9601732722437805
ck4_msp,CK4+MSP,train_zscore,211,69,clean,2486,0.8732904263877715,0.8732904263877715,0.7465926916660722,0.8732894217564728,0.9417358284429813,0.9203907731854177,0.860012764945799,0.8861571865078228,0.8985608435451695,-0.02527142178869668,0.9718756698889848
ck4_msp,CK4+MSP,train_zscore,211,69,substitution_1pct,2486,0.8636363636363636,0.8636363636363636,0.7275291653909614,0.8636123310374784,0.9398918739794012,0.9192106035636597,0.8499460224404178,0.876486747232962,0.8985608435451695,-0.034948512507691154,0.9611061256911599
ck4_msp,CK4+MSP,train_zscore,211,75,N_3pct,2486,0.8576025744167337,0.8576025744167337,0.7152644075604614,0.8575966756958806,0.9316015220229261,0.8986721756981987,0.8438907109044996,0.8708734423607436,0.8985608435451695,-0.04096416784928891,0.9544113588483675
ck4_msp,CK4+MSP,train_zscore,211,75,clean,2486,0.8773129525341915,0.8773129525341915,0.7546964910129221,0.8773072151409398,0.9413021852381379,0.9165288381904784,0.8643751617415115,0.8905753197659365,0.8985608435451695,-0.02125362840422973,0.976347034753511
ck4_msp,CK4+MSP,train_zscore,211,75,substitution_1pct,2486,0.8744971842316975,0.8744971842316975,0.7489943684633951,0.8744971842316975,0.9398750460341386,0.9152695620177767,0.8616250042858576,0.8865646892523728,0.8985608435451695,-0.024063659313471986,0.9732197775071841
ck4_msp,CK4+MSP,train_zscore,211,100,N_3pct,2486,0.8825422365245374,0.8825422365245374,0.7653708504585439,0.8825202620471788,0.9478961508664128,0.9328204307114303,0.8696395254354827,0.895009228650011,0.8985608435451695,-0.016040581497990702,0.9821485861383583
ck4_msp,CK4+MSP,train_zscore,211,100,clean,2486,0.8986323411102172,0.8986323411102173,0.7983909395924684,0.8985608435451695,0.9518002341673307,0.9356190782849951,0.8860468234642059,0.9102472791940982,0.8985608435451695,0.0,1.0
ck4_msp,CK4+MSP,train_zscore,211,100,substitution_1pct,2486,0.8917940466613034,0.8917940466613032,0.7840573846181714,0.891761663758931,0.950885052836512,0.9347526226564291,0.8793035922830331,0.904222051352201,0.8985608435451695,-0.006799179786238563,0.9924332560949204
ck4p_msp,CK4P-MSP,contract,222,69,N_3pct,2486,0.8809332260659695,0.8809332260659695,0.7627555894675978,0.8808638285554049,0.9447137275257937,0.9238404618126937,0.8680075269466396,0.8929869246825209,0.8925992985000062,-0.011735469944601284,0.9868524768456322
ck4p_msp,CK4P-MSP,contract,222,69,clean,2486,0.8841512469831054,0.8841512469831054,0.77111147223725,0.8839402427637721,0.9465751571633003,0.9251978521779103,0.8714598719482625,0.8949404957155823,0.8925992985000062,-0.008659055736234045,0.9902990560817319
ck4p_msp,CK4P-MSP,contract,222,69,substitution_1pct,2486,0.8825422365245374,0.8825422365245374,0.7669222663469514,0.8824015033696215,0.945053522574365,0.9234970053073174,0.8703103194390689,0.8957216622822864,0.8925992985000062,-0.010197795130384657,0.9885751701267054
