representation,probe_scaling,fold,length,condition,coordinate,train_mean,train_sd,scaler_scale,target_mean,mean_raw_delta,mean_abs_raw_delta,mean_scaled_delta,mean_abs_scaled_delta,logistic_coefficient,mean_logit_shift,mean_abs_logit_shift
ck4p_msp,train_zscore,1,69,N_3pct,base_entropy,0.1532311758044414,0.014207887371803288,0.014207887371803288,0.16597161705718677,0.01262419555915041,0.012641335023086371,0.8885343210282026,0.8897406554738132,-0.9393932741692045,-0.8346831650423944,0.8358163875069995
ck4p_msp,train_zscore,1,69,clean,hydrogen_mean,0.5014377017384614,0.005442376457106507,0.005442376457106507,0.5052233622215774,0.003883601972017778,0.003886563380748788,0.7135856923213527,0.7141298312199296,0.5336997826821934,0.3808405289170286,0.38113093572894785
ck4p_msp,train_zscore,1,69,clean,hydrogen_sd,0.08747494850194006,0.010180463402710593,0.010180463402710593,0.08787043970947134,0.000291488117644676,0.0019937137847360837,0.028632107018533758,0.19583723312685833,-0.35807855997711274,-0.01025254365030715,0.07012511442796754
ck4p_msp,train_zscore,1,69,clean,gc_mean,0.11888709758690486,0.024626732690552742,0.024626732690552742,0.11971350419021236,0.0012237258029800307,0.003817758263981195,0.049690952444108594,0.1550249605562071,0.20077804396495966,0.009976852234483954,0.031125608346220284
ck4p_msp,train_zscore,1,69,clean,gc_sd,0.08747494850194006,0.010180463402710605,0.010180463402710605,0.08787043970947135,0.00029148811764468643,0.001993713784736085,0.028632107018534747,0.19583723312685816,-0.3580785599771287,-0.010252543650307961,0.07012511442797062
ck4p_msp,train_zscore,1,69,clean,purine_mean,0.09518828886300892,0.01195617269871893,0.01195617269871893,0.09626058768986355,0.0008408955981670174,0.004720190138821051,0.07033150317886568,0.3947910638098099,0.007013529630978872,0.0004932720815362591,0.002768878824075772
ck4p_msp,train_zscore,1,69,clean,purine_sd,0.09495876597296458,0.004835481474008504,0.004835481474008504,0.09554676204314932,0.0004919384859997198,0.0009561217572855847,0.10173516094394502,0.1977304147322028,0.12815782172699944,0.013038156619621703,0.025340699241255305
ck4p_msp,train_zscore,1,69,clean,eiip_mean,0.022163568297603173,0.0019253877879029178,0.0019253877879029178,0.022336237637237806,0.00013729161204006877,0.00035848846961142805,0.0713059534825466,0.18619026871562547,0.12976896167829816,0.009253299544911102,0.024161717845830044
ck4p_msp,train_zscore,1,69,clean,eiip_sd,0.004450786557058927,0.00029422279176893087,0.00029422279176893087,0.004475226301330194,2.5990679165585953e-05,7.854895584971763e-05,0.08833672948762529,0.26697100988493916,0.07576971017031545,0.006693248390670927,0.020228316042858262
ck4p_msp,train_zscore,1,69,clean,n_fraction,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
