probe_scaling,length,condition,comparator,ck4p_msp_macro_f1,comparator_macro_f1,absolute_f1_difference,absolute_difference_ci_low,absolute_difference_ci_high,relative_drop_difference,relative_drop_ci_low,relative_drop_ci_high
train_zscore,75,N_3pct,pseeiip,0.7351429935229064,0.8837232374364907,-0.14858024391358438,-0.16512696343913175,-0.13204944946407782,-0.1361958896299892,-0.15340793919540874,-0.1188484670200906
train_zscore,75,N_3pct,ck5,0.7351429935229064,0.8069766586142612,-0.0718336650913548,-0.08908089257130654,-0.05396987895450454,-0.11117819745745317,-0.12995884959097695,-0.09101627270558937
train_zscore,75,clean,ck4,0.8796282846341509,0.8756820362554006,0.003946248378750239,-0.0028748116253691975,0.010801904846110669,0.009532352619009088,-8.169124377587762e-05,0.018401457743472655
train_zscore,75,clean,ck4_p,0.8796282846341509,0.8765731842183144,0.0030551004158364536,-0.004193769967601874,0.01024781751839283,0.008262469142812368,-0.00012425124701778416,0.01668608150798084
train_zscore,75,clean,ck4_msp,0.8796282846341509,0.8773072151409398,0.002321069493211092,-0.0033264633650596036,0.008332205876771599,0.004740794450499242,-0.002151042160971769,0.011293451135524223
train_zscore,75,clean,pseknc_k3_l3,0.8796282846341509,0.8905235181319937,-0.010895233497842827,-0.021366202207073165,-0.0008170689804808564,0.0015072662725817976,-0.008948689987061616,0.011562502563871832
train_zscore,75,clean,pseeiip,0.8796282846341509,0.8921292050712135,-0.012500920437062635,-0.022904960899410135,-0.0027884917502294187,-0.00011656615346744559,-0.0113567727989204,0.011101457581426912
train_zscore,75,clean,ck5,0.8796282846341509,0.8221007169644898,0.05752756766966105,0.0430066562214015,0.0715811610026848,0.01818303530356269,0.004483663280449452,0.03187624228947122
train_zscore,75,substitution_1pct,ck4,0.8760339837671105,0.8756966812220714,0.0003373025450390532,-0.006898672062083983,0.007147372809451655,0.005923406785297902,-0.0032239289961754542,0.014775471804198284
train_zscore,75,substitution_1pct,ck4_p,0.8760339837671105,0.8782726392474802,-0.0022386554803697223,-0.00945959360049855,0.004582902098918995,0.0029687132466061916,-0.006273567318181722,0.011534080904389897
train_zscore,75,substitution_1pct,ck4_msp,0.8760339837671105,0.8744971842316975,0.0015367995354129693,-0.004434761473891635,0.007994123302288722,0.003956524492701119,-0.0028792537516880404,0.011148273292942589
train_zscore,75,substitution_1pct,pseknc_k3_l3,0.8760339837671105,0.8877347357332777,-0.011700751966167156,-0.0221910676784301,-0.0016563522269321899,0.0007017478042574687,-0.011359284050895476,0.012798699706314401
train_zscore,75,substitution_1pct,pseeiip,0.8760339837671105,0.8861372878703353,-0.010103304103224797,-0.01972152129945277,-0.0004408609800016286,0.002281050180370392,-0.00860781619877757,0.014011996167941318
train_zscore,75,substitution_1pct,ck5,0.8760339837671105,0.8195945490641248,0.056439434702985736,0.042292869002218715,0.07061500275425728,0.017094902336887374,0.002984292621148799,0.03131856316424317
train_zscore,100,N_3pct,ck4,0.7156827398111759,0.8909399718683644,-0.17525723205718846,-0.19244299554394578,-0.1571549840138227,-0.1696711278169296,-0.1873697589452689,-0.15135655466192457
train_zscore,100,N_3pct,ck4_p,0.7156827398111759,0.5664600095747883,0.14922273023638766,0.13384797036491708,0.1665287436000377,0.15443009896336357,0.1371455255648193,0.17210207985327491
train_zscore,100,N_3pct,ck4_msp,0.7156827398111759,0.8825202620471788,-0.1668375222360029,-0.18464437632354466,-0.1501393207620383,-0.16441779727871475,-0.18241457618559873,-0.1476801937045339
train_zscore,100,N_3pct,pseknc_k3_l3,0.7156827398111759,0.9029823809982617,-0.18729964118708575,-0.20545449726660997,-0.16862172960751956,-0.17489714141666113,-0.19415058363894833,-0.15608328315774597
train_zscore,100,N_3pct,pseeiip,0.7156827398111759,0.903343701399689,-0.1876609615885131,-0.2061784708639562,-0.16918964872798367,-0.1752766073049179,-0.194074735233344,-0.1572925167443816
train_zscore,100,N_3pct,ck5,0.7156827398111759,0.844639992643197,-0.12895725283202109,-0.14768594188224565,-0.10818705610577792,-0.16830178519811945,-0.18694547304445108,-0.14901278113575564
train_zscore,100,clean,ck4,0.8961411185878814,0.9017272228281402,-0.005586104240258849,-0.012443373695460122,0.00048351685858503333,0.0,0.0,0.0
train_zscore,100,clean,ck4_p,0.8961411185878814,0.9013484873148573,-0.005207368726975914,-0.010849071934400673,0.0004928864824039741,0.0,0.0,0.0
train_zscore,100,clean,ck4_msp,0.8961411185878814,0.8985608435451695,-0.0024197249572881496,-0.006477128260935827,0.0016142812266632777,0.0,0.0,0.0
train_zscore,100,clean,pseknc_k3_l3,0.8961411185878814,0.908543618358306,-0.012402499770424624,-0.021296878335497628,-0.0030843752794054422,0.0,0.0,0.0
