task,length,condition,representation,classifier,macro_f1_mean,macro_f1_sd,accuracy_mean,n_cells
target_background,100,substitution_1pct_N_3pct,ck4p_msp,nearest_centroid,0.484759289382561,0.11034234353569729,0.5325082206795761,25
target_background,100,substitution_1pct_N_3pct,ckmer5_count_l2,logistic,0.4890936922435644,0.07040586280356019,0.5951510556791887,25
target_background,100,substitution_1pct_N_3pct,ckmer5_count_l2,nearest_centroid,0.4847785051238596,0.11347480447431633,0.5552901982927558,25
target_background,100,trim_5bp,ck4,logistic,0.4752072312111731,0.10668346664532492,0.553533165044674,25
target_background,100,trim_5bp,ck4,nearest_centroid,0.46220006547678205,0.1049608549621985,0.5142553116108103,25
target_background,100,trim_5bp,ck4_p,logistic,0.49089894219414065,0.12105334947127348,0.5667651487472459,25
target_background,100,trim_5bp,ck4_p,nearest_centroid,0.4599473593877588,0.10254704432203164,0.5122553116108104,25
target_background,100,trim_5bp,ck4p_msp,logistic,0.4855875555159308,0.09263072584883134,0.5631964437949093,25
target_background,100,trim_5bp,ck4p_msp,nearest_centroid,0.45939998033003493,0.10591963961435165,0.5123505497060484,25
target_background,100,trim_5bp,ckmer5_count_l2,logistic,0.45910832521176137,0.12086205008946206,0.5626241405653171,25
target_background,100,trim_5bp,ckmer5_count_l2,nearest_centroid,0.48581325231807837,0.08936069749538114,0.5540229957595686,25
target_background,150,N_3pct,ck4,logistic,0.47292835486602086,0.11448369894739427,0.5812973431796961,25
target_background,150,N_3pct,ck4,nearest_centroid,0.5143371499256816,0.13018042326220108,0.5757151524086508,25
target_background,150,N_3pct,ck4_p,logistic,0.49770759915114754,0.13085082713043075,0.6026507266383427,25
target_background,150,N_3pct,ck4_p,nearest_centroid,0.5143371499256816,0.13018042326220108,0.5757151524086508,25
target_background,150,N_3pct,ck4p_msp,logistic,0.518064928687205,0.10760078101057668,0.6248668730650155,25
target_background,150,N_3pct,ck4p_msp,nearest_centroid,0.5175806493456516,0.1321632482634794,0.579842136535635,25
target_background,150,N_3pct,ckmer5_count_l2,logistic,0.4714973214364695,0.1439096574089982,0.6342340789585371,25
target_background,150,N_3pct,ckmer5_count_l2,nearest_centroid,0.480319072832022,0.11962614870280193,0.5920037795022315,25
target_background,150,clean,ck4,logistic,0.4801828372811567,0.14080319192178803,0.594028565174076,25
target_background,150,clean,ck4,nearest_centroid,0.5038835554356124,0.12768240163995462,0.5651257376953971,25
target_background,150,clean,ck4_p,logistic,0.493737312393886,0.14410296387698515,0.6044947305876098,25
target_background,150,clean,ck4_p,nearest_centroid,0.506969388121445,0.12741371670347632,0.5695701821398416,25
target_background,150,clean,ck4p_msp,logistic,0.5585328071263382,0.10296836820468339,0.6556028663459004,25
target_background,150,clean,ck4p_msp,nearest_centroid,0.506969388121445,0.12741371670347632,0.5695701821398416,25
target_background,150,clean,ckmer5_count_l2,logistic,0.46520957936860574,0.1167480770482376,0.6333957442626174,25
target_background,150,clean,ckmer5_count_l2,nearest_centroid,0.4788798989162934,0.1030504170312772,0.5879893494878015,25
target_background,150,substitution_1pct,ck4,logistic,0.5003778426778427,0.14614122548054861,0.6087190167933202,25
target_background,150,substitution_1pct,ck4,nearest_centroid,0.4797617222915312,0.14343864960239963,0.5421271806968402,25
target_background,150,substitution_1pct,ck4_p,logistic,0.5162459600689202,0.14484639436704197,0.6178702281550579,25
target_background,150,substitution_1pct,ck4_p,nearest_centroid,0.4773304770661683,0.1432253528798086,0.5400219175389454,25
target_background,150,substitution_1pct,ck4p_msp,logistic,0.5439229568563416,0.10687490931271465,0.6441109815537059,25
target_background,150,substitution_1pct,ck4p_msp,nearest_centroid,0.48169411342980467,0.13219914172588212,0.5440219175389455,25
target_background,150,substitution_1pct,ckmer5_count_l2,logistic,0.45329500197156514,0.10303594346098255,0.6226935609969666,25
target_background,150,substitution_1pct,ckmer5_count_l2,nearest_centroid,0.44441784028973613,0.1025856331421711,0.564138054583875,25
target_background,150,substitution_1pct_N_3pct,ck4,logistic,0.5073123170129299,0.1137385192148731,0.6093899097118911,25
target_background,150,substitution_1pct_N_3pct,ck4,nearest_centroid,0.5246576534809845,0.12842492863214652,0.5864914871849857,25
target_background,150,substitution_1pct_N_3pct,ck4_p,logistic,0.5110994663298345,0.10888014208618213,0.6211906236178681,25
target_background,150,substitution_1pct_N_3pct,ck4_p,nearest_centroid,0.5261126799360109,0.12812107435070938,0.5887137094072079,25
target_background,150,substitution_1pct_N_3pct,ck4p_msp,logistic,0.5521543808632109,0.11070272661216686,0.6672951004963389,25
target_background,150,substitution_1pct_N_3pct,ck4p_msp,nearest_centroid,0.5299966619295264,0.12263674015170475,0.5925829904529595,25
target_background,150,substitution_1pct_N_3pct,ckmer5_count_l2,logistic,0.45597156295057345,0.08808331985784214,0.6246171310629515,25
target_background,150,substitution_1pct_N_3pct,ckmer5_count_l2,nearest_centroid,0.5179202358019813,0.100121983729852,0.6223270118254639,25
target_background,150,trim_5bp,ck4,logistic,0.4815046922715226,0.1512823294896375,0.5914427065882174,25
target_background,150,trim_5bp,ck4,nearest_centroid,0.4997201316847273,0.12587454761778236,0.562655837454599,25
target_background,150,trim_5bp,ck4_p,logistic,0.49452844413650865,0.14911732178557716,0.6041474095220225,25
target_background,150,trim_5bp,ck4_p,nearest_centroid,0.5013923724874029,0.12557723205030288,0.5648780596768213,25
