representation,classifier,split,fold,task,length,condition,n_samples,n_groups,n_classes,n_features,accuracy,macro_f1,genus,label_col
ckmer5_count_l2,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,79,79,3,468,0.3333333333333333,0.25,Burkholderia,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,468,0.125,0.14814814814814814,Burkholderia,label
ckmer5_count_l2,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,79,79,3,468,0.125,0.15555555555555556,Burkholderia,label
ck4,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,79,79,2,136,0.375,0.36507936507936506,Burkholderia,target_binary
ck4,logistic,5fold_grouped_cv,1,target_background,69,clean,79,79,2,136,0.5625,0.5465587044534412,Burkholderia,target_binary
ck4,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,79,79,2,136,0.5,0.4666666666666667,Burkholderia,target_binary
ck4,logistic,5fold_grouped_cv,2,target_background,69,clean,79,79,2,136,0.5,0.4666666666666667,Burkholderia,target_binary
ck4,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,79,79,2,136,0.4375,0.43529411764705883,Burkholderia,target_binary
ck4,logistic,5fold_grouped_cv,3,target_background,69,clean,79,79,2,136,0.4375,0.43529411764705883,Burkholderia,target_binary
ck4,nearest_centroid,5fold_grouped_cv,4,target_background,69,clean,79,79,2,136,0.4,0.3891402714932127,Burkholderia,target_binary
ck4,logistic,5fold_grouped_cv,4,target_background,69,clean,79,79,2,136,0.6666666666666666,0.660633484162896,Burkholderia,target_binary
ck4,nearest_centroid,5fold_grouped_cv,5,target_background,69,clean,79,79,2,136,0.3125,0.30980392156862746,Burkholderia,target_binary
ck4,logistic,5fold_grouped_cv,5,target_background,69,clean,79,79,2,136,0.4375,0.41700404858299595,Burkholderia,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,79,79,2,147,0.375,0.36507936507936506,Burkholderia,target_binary
ck4_p,logistic,5fold_grouped_cv,1,target_background,69,clean,79,79,2,147,0.625,0.6,Burkholderia,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,79,79,2,147,0.5625,0.5151515151515151,Burkholderia,target_binary
ck4_p,logistic,5fold_grouped_cv,2,target_background,69,clean,79,79,2,147,0.5625,0.5151515151515151,Burkholderia,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,79,79,2,147,0.4375,0.43529411764705883,Burkholderia,target_binary
ck4_p,logistic,5fold_grouped_cv,3,target_background,69,clean,79,79,2,147,0.4375,0.43529411764705883,Burkholderia,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,4,target_background,69,clean,79,79,2,147,0.4,0.3891402714932127,Burkholderia,target_binary
ck4_p,logistic,5fold_grouped_cv,4,target_background,69,clean,79,79,2,147,0.5333333333333333,0.5333333333333333,Burkholderia,target_binary
ck4_p,nearest_centroid,5fold_grouped_cv,5,target_background,69,clean,79,79,2,147,0.3125,0.30980392156862746,Burkholderia,target_binary
ck4_p,logistic,5fold_grouped_cv,5,target_background,69,clean,79,79,2,147,0.3125,0.23809523809523808,Burkholderia,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,79,79,2,222,0.375,0.36507936507936506,Burkholderia,target_binary
ck4p_msp,logistic,5fold_grouped_cv,1,target_background,69,clean,79,79,2,222,0.5625,0.5465587044534412,Burkholderia,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,79,79,2,222,0.5625,0.5151515151515151,Burkholderia,target_binary
ck4p_msp,logistic,5fold_grouped_cv,2,target_background,69,clean,79,79,2,222,0.5,0.4666666666666667,Burkholderia,target_binary
ck4p_msp,nearest_centroid,5fold_grouped_cv,3,target_background,69,clean,79,79,2,222,0.4375,0.43529411764705883,Burkholderia,target_binary
