split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.5138888888888888,0.4975074775672981,495,all_labels,genus,Burkholderia,target_binary,75,N_3pct,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.5555555555555556,0.5259259259259259,136,all_labels,genus,Burkholderia,target_binary,75,N_3pct,cspaced_count_l2,240,2
holdout,nearest_centroid,0.5416666666666666,0.5208711433756805,147,all_labels,genus,Burkholderia,target_binary,75,N_3pct,cspaced_property_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.6410767696909272,1104,all_labels,genus,Burkholderia,target_binary,75,N_3pct,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.6388888888888888,0.6201298701298701,1200,all_labels,genus,Burkholderia,target_binary,75,N_3pct,rope_property,240,2
holdout,nearest_centroid,0.6666666666666666,0.5221027479091995,511,all_labels,genus,Enterobacter,target_binary,75,N_3pct,ckmer5_count_l2,400,2
holdout,nearest_centroid,0.5833333333333334,0.4957983193277311,136,all_labels,genus,Enterobacter,target_binary,75,N_3pct,cspaced_count_l2,400,2
holdout,nearest_centroid,0.5333333333333333,0.4608472400513479,147,all_labels,genus,Enterobacter,target_binary,75,N_3pct,cspaced_property_l2,400,2
holdout,nearest_centroid,0.625,0.5499624968747395,1104,all_labels,genus,Enterobacter,target_binary,75,N_3pct,spaced_kmer_phase,400,2
holdout,nearest_centroid,0.6583333333333333,0.5283290192694852,1200,all_labels,genus,Enterobacter,target_binary,75,N_3pct,rope_property,400,2
holdout,nearest_centroid,0.5,0.5,508,all_labels,genus,Escherichia,target_binary,75,N_3pct,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.4166666666666667,0.4074074074074074,136,all_labels,genus,Escherichia,target_binary,75,N_3pct,cspaced_count_l2,160,2
holdout,nearest_centroid,0.4166666666666667,0.4125874125874126,147,all_labels,genus,Escherichia,target_binary,75,N_3pct,cspaced_property_l2,160,2
holdout,nearest_centroid,0.4791666666666667,0.4734532689776217,1104,all_labels,genus,Escherichia,target_binary,75,N_3pct,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4166666666666667,0.4166666666666667,1200,all_labels,genus,Escherichia,target_binary,75,N_3pct,rope_property,160,2
holdout,nearest_centroid,0.5833333333333334,0.520851818988465,510,all_labels,genus,Klebsiella,target_binary,75,N_3pct,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.6805555555555556,0.650853889943074,136,all_labels,genus,Klebsiella,target_binary,75,N_3pct,cspaced_count_l2,240,2
holdout,nearest_centroid,0.6666666666666666,0.6387959866220736,147,all_labels,genus,Klebsiella,target_binary,75,N_3pct,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5138888888888888,0.4918330308529945,1104,all_labels,genus,Klebsiella,target_binary,75,N_3pct,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.6388888888888888,0.59375,1200,all_labels,genus,Klebsiella,target_binary,75,N_3pct,rope_property,240,2
holdout,nearest_centroid,0.5416666666666666,0.4565105506948019,512,all_labels,genus,Candida,target_binary,125,clean,ckmer5_count_l2,320,2
holdout,nearest_centroid,0.5416666666666666,0.4666666666666667,136,all_labels,genus,Candida,target_binary,125,clean,cspaced_count_l2,320,2
holdout,nearest_centroid,0.5104166666666666,0.4612537313432835,147,all_labels,genus,Candida,target_binary,125,clean,cspaced_property_l2,320,2
holdout,nearest_centroid,0.5104166666666666,0.444813584348468,1904,all_labels,genus,Candida,target_binary,125,clean,spaced_kmer_phase,320,2
holdout,nearest_centroid,0.59375,0.4793491864831039,2000,all_labels,genus,Candida,target_binary,125,clean,rope_property,320,2
holdout,nearest_centroid,0.6527777777777778,0.6322778345250255,504,all_labels,genus,Burkholderia,target_binary,125,clean,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.6322778345250255,136,all_labels,genus,Burkholderia,target_binary,125,clean,cspaced_count_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.6322778345250255,147,all_labels,genus,Burkholderia,target_binary,125,clean,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5972222222222222,0.5597722960151803,1904,all_labels,genus,Burkholderia,target_binary,125,clean,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.6944444444444444,0.6302521008403361,2000,all_labels,genus,Burkholderia,target_binary,125,clean,rope_property,240,2
holdout,nearest_centroid,0.6416666666666667,0.5168086899522427,512,all_labels,genus,Enterobacter,target_binary,125,clean,ckmer5_count_l2,400,2
holdout,nearest_centroid,0.5666666666666667,0.4841269841269841,136,all_labels,genus,Enterobacter,target_binary,125,clean,cspaced_count_l2,400,2
holdout,nearest_centroid,0.5666666666666667,0.4756302521008403,147,all_labels,genus,Enterobacter,target_binary,125,clean,cspaced_property_l2,400,2
holdout,nearest_centroid,0.575,0.4619780219780219,1904,all_labels,genus,Enterobacter,target_binary,125,clean,spaced_kmer_phase,400,2
holdout,nearest_centroid,0.65,0.4844517184942716,2000,all_labels,genus,Enterobacter,target_binary,125,clean,rope_property,400,2
holdout,nearest_centroid,0.5416666666666666,0.5343915343915344,511,all_labels,genus,Escherichia,target_binary,125,clean,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.5625,0.5607843137254902,136,all_labels,genus,Escherichia,target_binary,125,clean,cspaced_count_l2,160,2
holdout,nearest_centroid,0.5625,0.5607843137254902,147,all_labels,genus,Escherichia,target_binary,125,clean,cspaced_property_l2,160,2
holdout,nearest_centroid,0.5,0.4965034965034964,1904,all_labels,genus,Escherichia,target_binary,125,clean,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4583333333333333,0.4583333333333333,2000,all_labels,genus,Escherichia,target_binary,125,clean,rope_property,160,2
holdout,nearest_centroid,0.5972222222222222,0.5597722960151803,511,all_labels,genus,Klebsiella,target_binary,125,clean,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.6111111111111112,0.5785953177257526,136,all_labels,genus,Klebsiella,target_binary,125,clean,cspaced_count_l2,240,2
holdout,nearest_centroid,0.6388888888888888,0.6017021276595744,147,all_labels,genus,Klebsiella,target_binary,125,clean,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5,0.3769230769230769,1904,all_labels,genus,Klebsiella,target_binary,125,clean,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.5833333333333334,0.53125,2000,all_labels,genus,Klebsiella,target_binary,125,clean,rope_property,240,2
holdout,nearest_centroid,0.5104166666666666,0.425003185930929,512,all_labels,genus,Candida,target_binary,125,N_3pct,ckmer5_count_l2,320,2
holdout,nearest_centroid,0.5625,0.5151515151515151,136,all_labels,genus,Candida,target_binary,125,N_3pct,cspaced_count_l2,320,2
holdout,nearest_centroid,0.5416666666666666,0.4990512333965844,147,all_labels,genus,Candida,target_binary,125,N_3pct,cspaced_property_l2,320,2
holdout,nearest_centroid,0.5104166666666666,0.4534221683827983,1904,all_labels,genus,Candida,target_binary,125,N_3pct,spaced_kmer_phase,320,2
holdout,nearest_centroid,0.6354166666666666,0.5069699192956713,2000,all_labels,genus,Candida,target_binary,125,N_3pct,rope_property,320,2
holdout,nearest_centroid,0.5972222222222222,0.5597722960151803,501,all_labels,genus,Burkholderia,target_binary,125,N_3pct,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.5555555555555556,0.5380914194065758,136,all_labels,genus,Burkholderia,target_binary,125,N_3pct,cspaced_count_l2,240,2
holdout,nearest_centroid,0.5694444444444444,0.5499092558983666,147,all_labels,genus,Burkholderia,target_binary,125,N_3pct,cspaced_property_l2,240,2
holdout,nearest_centroid,0.6388888888888888,0.6148148148148148,1904,all_labels,genus,Burkholderia,target_binary,125,N_3pct,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.6666666666666666,0.5846153846153846,2000,all_labels,genus,Burkholderia,target_binary,125,N_3pct,rope_property,240,2
holdout,nearest_centroid,0.65,0.4694736842105263,510,all_labels,genus,Enterobacter,target_binary,125,N_3pct,ckmer5_count_l2,400,2
holdout,nearest_centroid,0.575,0.4899574964580382,136,all_labels,genus,Enterobacter,target_binary,125,N_3pct,cspaced_count_l2,400,2
holdout,nearest_centroid,0.5583333333333333,0.469955829652471,147,all_labels,genus,Enterobacter,target_binary,125,N_3pct,cspaced_property_l2,400,2
holdout,nearest_centroid,0.6333333333333333,0.5215657847046031,1904,all_labels,genus,Enterobacter,target_binary,125,N_3pct,spaced_kmer_phase,400,2
holdout,nearest_centroid,0.675,0.5144724556489262,2000,all_labels,genus,Enterobacter,target_binary,125,N_3pct,rope_property,400,2
