pair_id,length,representation,representation_label,l2_drift,paired_cosine,n_features
order_pair_000248,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000249,69,ck4,CK4,0.0,1.0,136
order_pair_000250,69,ck4,CK4,0.0,1.0,136
order_pair_000251,69,ck4,CK4,0.0,1.0,136
order_pair_000252,69,ck4,CK4,0.0,1.0,136
order_pair_000253,69,ck4,CK4,0.0,1.0,136
order_pair_000254,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000255,69,ck4,CK4,0.0,1.0,136
order_pair_000256,69,ck4,CK4,0.0,1.0,136
order_pair_000257,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000258,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000259,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000260,69,ck4,CK4,0.0,1.0,136
order_pair_000261,69,ck4,CK4,0.0,1.0,136
order_pair_000262,69,ck4,CK4,0.0,1.0,136
order_pair_000263,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000264,69,ck4,CK4,0.0,1.0,136
order_pair_000265,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000266,69,ck4,CK4,0.0,1.0000000000000004,136
order_pair_000267,69,ck4,CK4,0.0,1.0,136
order_pair_000268,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000269,69,ck4,CK4,0.0,1.0,136
order_pair_000270,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000271,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000272,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000273,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000274,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000275,69,ck4,CK4,0.0,1.0,136
order_pair_000276,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000277,69,ck4,CK4,0.0,1.0,136
order_pair_000278,69,ck4,CK4,0.0,1.0,136
order_pair_000279,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000280,69,ck4,CK4,0.0,0.9999999999999999,136
order_pair_000281,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000282,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000283,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000284,69,ck4,CK4,0.0,1.0,136
order_pair_000285,69,ck4,CK4,0.0,1.0,136
order_pair_000286,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000287,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000288,69,ck4,CK4,0.0,1.0,136
order_pair_000289,69,ck4,CK4,0.0,1.0,136
order_pair_000290,69,ck4,CK4,0.0,1.0,136
order_pair_000291,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000292,69,ck4,CK4,0.0,1.0,136
order_pair_000293,69,ck4,CK4,0.0,1.0000000000000002,136
order_pair_000294,69,ck4,CK4,0.0,1.0,136
