representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
hybrid_ckmer5_csp,logistic,113,4,656,0.23529411764705882,0.2327651515151515,within_genus_species,Candida,150,clean,label
minhash_k5_s128,nearest_centroid,113,4,128,0.3235294117647059,0.32559523809523805,within_genus_species,Candida,150,clean,label
minhash_k5_s128,logistic,113,4,128,0.4411764705882353,0.41289762868710234,within_genus_species,Candida,150,clean,label
eiip_l2,nearest_centroid,113,4,150,0.3235294117647059,0.2995147222768706,within_genus_species,Candida,150,clean,label
eiip_l2,logistic,113,4,150,0.20588235294117646,0.19171842650103518,within_genus_species,Candida,150,clean,label
eiip_summary_l2,nearest_centroid,113,4,8,0.3235294117647059,0.26071428571428573,within_genus_species,Candida,150,clean,label
eiip_summary_l2,logistic,113,4,8,0.35294117647058826,0.3103913630229419,within_genus_species,Candida,150,clean,label
ck4,nearest_centroid,92,2,136,0.5357142857142857,0.5204216073781291,target_background,Candida,150,clean,target_binary
ck4,logistic,92,2,136,0.5357142857142857,0.5047619047619047,target_background,Candida,150,clean,target_binary
ck4_p,nearest_centroid,92,2,147,0.5357142857142857,0.5204216073781291,target_background,Candida,150,clean,target_binary
ck4_p,logistic,92,2,147,0.5357142857142857,0.5047619047619047,target_background,Candida,150,clean,target_binary
ck4p_msp,nearest_centroid,92,2,222,0.5357142857142857,0.5204216073781291,target_background,Candida,150,clean,target_binary
ck4p_msp,logistic,92,2,222,0.6428571428571429,0.6111111111111112,target_background,Candida,150,clean,target_binary
ckmer5_count_l2,nearest_centroid,92,2,509,0.6071428571428571,0.5809523809523809,target_background,Candida,150,clean,target_binary
ckmer5_count_l2,logistic,92,2,509,0.4642857142857143,0.42857142857142855,target_background,Candida,150,clean,target_binary
cspaced_count_l2,nearest_centroid,92,2,136,0.5357142857142857,0.5204216073781291,target_background,Candida,150,clean,target_binary
cspaced_count_l2,logistic,92,2,136,0.5357142857142857,0.4822190611664296,target_background,Candida,150,clean,target_binary
cspaced_property_l2,nearest_centroid,92,2,147,0.5357142857142857,0.5204216073781291,target_background,Candida,150,clean,target_binary
cspaced_property_l2,logistic,92,2,147,0.5357142857142857,0.5047619047619047,target_background,Candida,150,clean,target_binary
