representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer5_count_l2,CK5,logistic,119,4,500,0.19444444444444445,0.15656789031402035,within_genus_species,Candida,69,clean,label
ck5_pca147,CK5 PCA-147,nearest_centroid,119,4,82,0.3333333333333333,0.3277167277167277,within_genus_species,Candida,69,clean,label
ck5_pca147,CK5 PCA-147,logistic,119,4,82,0.2777777777777778,0.23394736842105263,within_genus_species,Candida,69,clean,label
ck5_pca222,CK5 PCA-222,nearest_centroid,119,4,82,0.3333333333333333,0.3277167277167277,within_genus_species,Candida,69,clean,label
ck5_pca222,CK5 PCA-222,logistic,119,4,82,0.2777777777777778,0.23394736842105263,within_genus_species,Candida,69,clean,label
ck5_svd147,CK5 SVD-147,nearest_centroid,119,4,82,0.2222222222222222,0.18528221005001191,within_genus_species,Candida,69,clean,label
ck5_svd147,CK5 SVD-147,logistic,119,4,82,0.2777777777777778,0.22678571428571428,within_genus_species,Candida,69,clean,label
ck5_svd222,CK5 SVD-222,nearest_centroid,119,4,82,0.2222222222222222,0.18528221005001191,within_genus_species,Candida,69,clean,label
ck5_svd222,CK5 SVD-222,logistic,119,4,82,0.2777777777777778,0.22678571428571428,within_genus_species,Candida,69,clean,label
ck7_pca147,CK7 PCA-147,nearest_centroid,119,4,82,0.3055555555555556,0.2961898395721925,within_genus_species,Candida,69,clean,label
ck7_pca147,CK7 PCA-147,logistic,119,4,82,0.2777777777777778,0.2737414187643021,within_genus_species,Candida,69,clean,label
ck7_pca222,CK7 PCA-222,nearest_centroid,119,4,82,0.3055555555555556,0.2961898395721925,within_genus_species,Candida,69,clean,label
ck7_pca222,CK7 PCA-222,logistic,119,4,82,0.2777777777777778,0.2737414187643021,within_genus_species,Candida,69,clean,label
ck7_svd147,CK7 SVD-147,nearest_centroid,119,4,82,0.2777777777777778,0.25403297682709447,within_genus_species,Candida,69,clean,label
ck7_svd147,CK7 SVD-147,logistic,119,4,82,0.3611111111111111,0.2978846153846154,within_genus_species,Candida,69,clean,label
ck7_svd222,CK7 SVD-222,nearest_centroid,119,4,82,0.2777777777777778,0.25403297682709447,within_genus_species,Candida,69,clean,label
