retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,observed_base_difference_rate_mean,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.8576390692977205,0.7213411988209613,0.49622592671679244,0.746536970714785,0.4880621203976906,1.0,60,low,20.666666666666668,23.516957475209765,24.283333333333335,0.03708333333333333,ckmer5_count_l2,canonical 5-mer,400,512,0.0971728515625,49.7525
1.0,0.9213386384635533,0.821220023238809,0.35324459826926363,0.5979630944156472,0.30442749946648817,1.0,60,mid,24.283333333333335,24.768039664378335,25.233333333333334,0.033791666666666664,ck4,CK4,400,136,0.31073529411764705,42.26
1.0,0.9606424497398379,0.9105329682575766,0.249889129186532,0.42300593975352613,0.15288437838648478,1.0,60,mid,24.283333333333335,24.768039664378335,25.233333333333334,0.033791666666666664,ck4_p,CK4+P,400,147,0.35551020408163264,52.26
1.0,0.9605130666210718,0.9103523280392849,0.25033477059067616,0.4234327471420722,0.15556268776894625,1.0,60,mid,24.283333333333335,24.768039664378335,25.233333333333334,0.033791666666666664,ck4_msp,CK4+MSP,400,211,0.4841943127962085,102.165
1.0,0.9736574647527553,0.9401835231183047,0.2044725365667641,0.34587992696913494,0.10412847148246664,1.0,60,mid,24.283333333333335,24.768039664378335,25.233333333333334,0.033791666666666664,ck4p_msp,CK4P-MSP,400,222,0.5052477477477477,112.165
1.0,0.8698307087956462,0.7062122558198812,0.45689593952505353,0.7665347161197977,0.5035406889955799,1.0,60,mid,24.283333333333335,24.768039664378335,25.233333333333334,0.033791666666666664,ckmer5_count_l2,canonical 5-mer,400,512,0.09698486328125,49.65625
1.0,0.9435515522361669,0.8435589098067442,0.28599243075037534,0.5593584316062814,0.32932282309718097,1.0,60,high,25.233333333333334,25.909789343246594,28.15,0.023249999999999996,ck4,CK4,400,136,0.31393382352941174,42.695
1.0,0.9717566751922874,0.9217724027708172,0.20229930640244692,0.3955438856834868,0.165312002963344,1.0,60,high,25.233333333333334,25.909789343246594,28.15,0.023249999999999996,ck4_p,CK4+P,400,147,0.35846938775510206,52.695
1.0,0.9716594200798343,0.9215323855879742,0.20267428195466575,0.3961501634704819,0.1678827936084562,1.0,60,high,25.233333333333334,25.909789343246594,28.15,0.023249999999999996,ck4_msp,CK4+MSP,400,211,0.4864277251184834,102.63625
1.0,0.9810935461026924,0.947683555636947,0.16554153873326696,0.3234697016464322,0.11233704363690901,1.0,60,high,25.233333333333334,25.909789343246594,28.15,0.023249999999999996,ck4p_msp,CK4P-MSP,400,222,0.5073704954954955,112.63625
1.0,0.907599363946956,0.7541997111515466,0.36678274594002275,0.7011423376867985,0.5387587452141022,1.0,60,high,25.233333333333334,25.909789343246594,28.15,0.023249999999999996,ckmer5_count_l2,canonical 5-mer,400,512,0.0973974609375,49.8675
1.0,0.9072130977217503,0.809030007407632,0.40503333153346205,0.6180129328148991,0.2750184651253804,1.0,69,low,20.347826086956523,23.00741345401081,23.695652173913043,0.04289855072463768,ck4,CK4,400,136,0.3492279411764706,47.495
