length,fold,representation,representation_label,n_features,macro_f1,accuracy
75,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.5544973544973545,0.5555555555555556
75,1,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.5138009049773755,0.5238095238095238
75,2,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.5695238095238095,0.5925925925925926
75,3,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.7245370370370371,0.7222222222222222
75,4,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.613985413985414,0.6111111111111112
75,5,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.44576802507836993,0.4444444444444444
75,1,pseeiip,PseEIIP,64,0.5330065359477124,0.5396825396825397
75,2,pseeiip,PseEIIP,64,0.5981955258929674,0.6111111111111112
75,3,pseeiip,PseEIIP,64,0.7404438698556346,0.7407407407407407
75,4,pseeiip,PseEIIP,64,0.6340852130325815,0.6296296296296297
75,5,pseeiip,PseEIIP,64,0.4467408585055644,0.4444444444444444
75,1,ncp_anf,NCP+ANF,300,0.9360679970436068,0.9365079365079365
75,2,ncp_anf,NCP+ANF,300,0.9814671814671815,0.9814814814814815
75,3,ncp_anf,NCP+ANF,300,0.9258830258830258,0.9259259259259259
75,4,ncp_anf,NCP+ANF,300,0.9247219355578489,0.9259259259259259
75,5,ncp_anf,NCP+ANF,300,0.7561272909320449,0.7592592592592593
100,1,ck4,CK4,136,0.7564509564509564,0.7619047619047619
100,2,ck4,CK4,136,0.7568922305764411,0.7777777777777778
100,3,ck4,CK4,136,0.7370141038871689,0.7407407407407407
100,4,ck4,CK4,136,0.6651186790505677,0.6666666666666666
100,5,ck4,CK4,136,0.5942721916352748,0.5925925925925926
100,1,ck5,CK5,512,0.7306879167344285,0.7301587301587301
100,2,ck5,CK5,512,0.7073684210526316,0.7407407407407407
100,3,ck5,CK5,512,0.7091550215489094,0.7222222222222222
100,4,ck5,CK5,512,0.667919799498747,0.6851851851851852
100,5,ck5,CK5,512,0.5694123335902201,0.5740740740740741
100,1,ck4p_msp,CK4P-MSP,222,0.7405779405779406,0.746031746031746
100,2,ck4p_msp,CK4P-MSP,222,0.6795648795648797,0.7222222222222222
100,3,ck4p_msp,CK4P-MSP,222,0.7370141038871689,0.7407407407407407
100,4,ck4p_msp,CK4P-MSP,222,0.6419385893070103,0.6481481481481481
100,5,ck4p_msp,CK4P-MSP,222,0.5565697543385171,0.5555555555555556
100,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7924263295789103,0.7936507936507936
100,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7407456528146183,0.7592592592592593
100,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7160062160062161,0.7222222222222222
100,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.6924231924231924,0.7037037037037037
100,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.5743842364532019,0.5740740740740741
100,1,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.6164021164021164,0.6190476190476191
100,2,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.6654320987654321,0.6851851851851852
100,3,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.7205062205062204,0.7222222222222222
100,4,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.6226350189198486,0.6296296296296297
100,5,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.4271284271284271,0.42592592592592593
100,1,pseeiip,PseEIIP,64,0.5662931839402428,0.5714285714285714
100,2,pseeiip,PseEIIP,64,0.6739749783228044,0.7037037037037037
100,3,pseeiip,PseEIIP,64,0.780451127819549,0.7777777777777778
100,4,pseeiip,PseEIIP,64,0.6574074074074074,0.6666666666666666
100,5,pseeiip,PseEIIP,64,0.4438236313236314,0.4444444444444444
100,1,ncp_anf,NCP+ANF,400,0.9523255813953488,0.9523809523809523
100,2,ncp_anf,NCP+ANF,400,0.926785919045981,0.9259259259259259
100,3,ncp_anf,NCP+ANF,400,0.8888888888888888,0.8888888888888888
100,4,ncp_anf,NCP+ANF,400,0.9253825253825254,0.9259259259259259
100,5,ncp_anf,NCP+ANF,400,0.7737632737632737,0.7777777777777778
150,1,ck4,CK4,136,0.6933706816059756,0.7142857142857143
150,2,ck4,CK4,136,0.7006631299734748,0.7222222222222222
150,3,ck4,CK4,136,0.7217635592248595,0.7222222222222222
150,4,ck4,CK4,136,0.7434228486860066,0.7407407407407407
150,5,ck4,CK4,136,0.5829994192799072,0.5925925925925926
150,1,ck5,CK5,512,0.7602487061659914,0.7619047619047619
150,2,ck5,CK5,512,0.7407555911966498,0.7592592592592593
150,3,ck5,CK5,512,0.7010310803414251,0.7222222222222222
150,4,ck5,CK5,512,0.7735294117647059,0.7777777777777778
150,5,ck5,CK5,512,0.6144039397383222,0.6296296296296297
150,1,ck4p_msp,CK4P-MSP,222,0.6562118437118437,0.6825396825396826
150,2,ck4p_msp,CK4P-MSP,222,0.7242690058479533,0.7407407407407407
