representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
ck5,CK5,512,3,100,N_3pct,0.8614391434419777,0.8625,80,0.8614024798200072,1.0000425627077114
ck5,CK5,512,3,100,clean,0.8614391434419777,0.8625,80,0.8614024798200072,1.0000425627077114
ck5,CK5,512,3,100,substitution_1pct,0.8742928975487115,0.875,80,0.8614024798200072,1.0149644539349338
ck5,CK5,512,4,69,N_3pct,0.8647734956051386,0.875,80,0.8614024798200072,1.0039134038548807
ck5,CK5,512,4,69,clean,0.8448245459354611,0.8625,80,0.8614024798200072,0.9807547177156837
ck5,CK5,512,4,69,substitution_1pct,0.8501107136773973,0.8625,80,0.8614024798200072,0.9868914167219842
ck5,CK5,512,4,75,N_3pct,0.8476190476190477,0.8625,80,0.8614024798200072,0.9839988477815393
ck5,CK5,512,4,75,clean,0.8730382648562864,0.8875,80,0.8614024798200072,1.0135079539574934
ck5,CK5,512,4,75,substitution_1pct,0.8881900768693222,0.9,80,0.8614024798200072,1.0310976549021689
ck5,CK5,512,4,100,N_3pct,0.9046159087037984,0.9125,80,0.8614024798200072,1.0501663622942214
ck5,CK5,512,4,100,clean,0.8753246753246753,0.8875,80,0.8614024798200072,1.016162242193193
ck5,CK5,512,4,100,substitution_1pct,0.9030303030303031,0.9125,80,0.8614024798200072,1.0483256366048472
ck5,CK5,512,5,69,N_3pct,0.9124863259884357,0.9125,80,0.8614024798200072,1.0593031101780699
ck5,CK5,512,5,69,clean,0.8999374609130707,0.9,80,0.8614024798200072,1.044735163870338
ck5,CK5,512,5,69,substitution_1pct,0.8999374609130707,0.9,80,0.8614024798200072,1.044735163870338
ck5,CK5,512,5,75,N_3pct,0.887341574088562,0.8875,80,0.8614024798200072,1.030112630130778
ck5,CK5,512,5,75,clean,0.887341574088562,0.8875,80,0.8614024798200072,1.030112630130778
ck5,CK5,512,5,75,substitution_1pct,0.8749218261413383,0.875,80,0.8614024798200072,1.0156945755765134
ck5,CK5,512,5,100,N_3pct,0.887341574088562,0.8875,80,0.8614024798200072,1.030112630130778
ck5,CK5,512,5,100,clean,0.912156862745098,0.9125,80,0.8614024798200072,1.0589206371169213
ck5,CK5,512,5,100,substitution_1pct,0.912156862745098,0.9125,80,0.8614024798200072,1.0589206371169213
ck4p_msp,CK4P-MSP,222,1,69,N_3pct,0.7678916827852997,0.775,80,0.8584650489706362,0.8944938220910208
ck4p_msp,CK4P-MSP,222,1,69,clean,0.7953964194373402,0.8,80,0.8584650489706362,0.9265332588567
ck4p_msp,CK4P-MSP,222,1,69,substitution_1pct,0.8088867654085046,0.8125,80,0.8584650489706362,0.9422477553144654
ck4p_msp,CK4P-MSP,222,1,75,N_3pct,0.7698209718670077,0.775,80,0.8584650489706362,0.89674119265552
ck4p_msp,CK4P-MSP,222,1,75,clean,0.7698209718670077,0.775,80,0.8584650489706362,0.89674119265552
ck4p_msp,CK4P-MSP,222,1,75,substitution_1pct,0.7817364788958434,0.7875,80,0.8584650489706362,0.9106212068076667
ck4p_msp,CK4P-MSP,222,1,100,N_3pct,0.784776072163317,0.7875,80,0.8584650489706362,0.9141619371741717
ck4p_msp,CK4P-MSP,222,1,100,clean,0.7714285714285715,0.775,80,0.8584650489706362,0.898613836816737
ck4p_msp,CK4P-MSP,222,1,100,substitution_1pct,0.7714285714285715,0.775,80,0.8584650489706362,0.898613836816737
ck4p_msp,CK4P-MSP,222,2,69,N_3pct,0.8624785122675418,0.8625,80,0.8584650489706362,1.004675162141683
ck4p_msp,CK4P-MSP,222,2,69,clean,0.85,0.85,80,0.8584650489706362,0.9901393201962194
ck4p_msp,CK4P-MSP,222,2,69,substitution_1pct,0.85,0.85,80,0.8584650489706362,0.9901393201962194
ck4p_msp,CK4P-MSP,222,2,75,N_3pct,0.85,0.85,80,0.8584650489706362,0.9901393201962194
ck4p_msp,CK4P-MSP,222,2,75,clean,0.849906191369606,0.85,80,0.8584650489706362,0.9900300453567761
ck4p_msp,CK4P-MSP,222,2,75,substitution_1pct,0.849906191369606,0.85,80,0.8584650489706362,0.9900300453567761
ck4p_msp,CK4P-MSP,222,2,100,N_3pct,0.875,0.875,80,0.8584650489706362,1.019261064907873
ck4p_msp,CK4P-MSP,222,2,100,clean,0.87468671679198,0.875,80,0.8584650489706362,1.0188961307636166
ck4p_msp,CK4P-MSP,222,2,100,substitution_1pct,0.887341574088562,0.8875,80,0.8584650489706362,1.0336373917057553
ck4p_msp,CK4P-MSP,222,3,69,N_3pct,0.8619607843137256,0.8625,80,0.8584650489706362,1.004072076489638
ck4p_msp,CK4P-MSP,222,3,69,clean,0.8742928975487115,0.875,80,0.8584650489706362,1.0184373826250166
ck4p_msp,CK4P-MSP,222,3,69,substitution_1pct,0.8742928975487115,0.875,80,0.8584650489706362,1.0184373826250166
ck4p_msp,CK4P-MSP,222,3,75,N_3pct,0.8491514770584538,0.85,80,0.8584650489706362,0.9891509014567919
ck4p_msp,CK4P-MSP,222,3,75,clean,0.8476190476190477,0.85,80,0.8584650489706362,0.9873658206998716
ck4p_msp,CK4P-MSP,222,3,75,substitution_1pct,0.8476190476190477,0.85,80,0.8584650489706362,0.9873658206998716
ck4p_msp,CK4P-MSP,222,3,100,N_3pct,0.8354169963601836,0.8375,80,0.8584650489706362,0.9731520198311056
ck4p_msp,CK4P-MSP,222,3,100,clean,0.8737373737373737,0.875,80,0.8584650489706362,1.0177902697204158
ck4p_msp,CK4P-MSP,222,3,100,substitution_1pct,0.8737373737373737,0.875,80,0.8584650489706362,1.0177902697204158
ck4p_msp,CK4P-MSP,222,4,69,N_3pct,0.8730382648562864,0.8875,80,0.8584650489706362,1.0169758989059887
ck4p_msp,CK4P-MSP,222,4,69,clean,0.8730382648562864,0.8875,80,0.8584650489706362,1.0169758989059887
ck4p_msp,CK4P-MSP,222,4,69,substitution_1pct,0.8730382648562864,0.8875,80,0.8584650489706362,1.0169758989059887
ck4p_msp,CK4P-MSP,222,4,75,N_3pct,0.8416981471487678,0.8625,80,0.8584650489706362,0.9804687426215275
ck4p_msp,CK4P-MSP,222,4,75,clean,0.8416981471487678,0.8625,80,0.8584650489706362,0.9804687426215275
ck4p_msp,CK4P-MSP,222,4,75,substitution_1pct,0.8416981471487678,0.8625,80,0.8584650489706362,0.9804687426215275
ck4p_msp,CK4P-MSP,222,4,100,N_3pct,0.8881900768693222,0.9,80,0.8584650489706362,1.0346257869604925
ck4p_msp,CK4P-MSP,222,4,100,clean,0.8730382648562864,0.8875,80,0.8584650489706362,1.0169758989059887
ck4p_msp,CK4P-MSP,222,4,100,substitution_1pct,0.9030303030303031,0.9125,80,0.8584650489706362,1.0519127180694239
ck4p_msp,CK4P-MSP,222,5,69,N_3pct,0.887341574088562,0.8875,80,0.8584650489706362,1.0336373917057553
ck4p_msp,CK4P-MSP,222,5,69,clean,0.887341574088562,0.8875,80,0.8584650489706362,1.0336373917057553
ck4p_msp,CK4P-MSP,222,5,69,substitution_1pct,0.887341574088562,0.8875,80,0.8584650489706362,1.0336373917057553
ck4p_msp,CK4P-MSP,222,5,75,N_3pct,0.887341574088562,0.8875,80,0.8584650489706362,1.0336373917057553
ck4p_msp,CK4P-MSP,222,5,75,clean,0.87468671679198,0.875,80,0.8584650489706362,1.0188961307636166
ck4p_msp,CK4P-MSP,222,5,75,substitution_1pct,0.8870588235294118,0.8875,80,0.8584650489706362,1.0333080241217294
ck4p_msp,CK4P-MSP,222,5,100,N_3pct,0.8870588235294118,0.8875,80,0.8584650489706362,1.0333080241217294
ck4p_msp,CK4P-MSP,222,5,100,clean,0.8994343180389692,0.9,80,0.8584650489706362,1.0477238637932413
ck4p_msp,CK4P-MSP,222,5,100,substitution_1pct,0.8994343180389692,0.9,80,0.8584650489706362,1.0477238637932413
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,N_3pct,0.7678916827852997,0.775,80,0.8584650489706362,0.8944938220910208
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,clean,0.7953964194373402,0.8,80,0.8584650489706362,0.9265332588567
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,substitution_1pct,0.8088867654085046,0.8125,80,0.8584650489706362,0.9422477553144654
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,N_3pct,0.7698209718670077,0.775,80,0.8584650489706362,0.89674119265552
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,clean,0.7579232361841057,0.7625,80,0.8584650489706362,0.8828818798073519
