length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,substitution_1pct_N_3pct,ck4,CK4,136,200,1.0,0.9498994728335799,0.8935649075717818,0.3063252325034722,0.4613767096120361,0.33294831700962535,1.0
75,local_mismatch_6bp,ck4,CK4,136,200,1.0,0.9312256216487856,0.9062257277551342,0.3677327645297321,0.4330686838644496,0.3126491503710737,1.0
75,short_indel,ck4,CK4,136,200,1.0,0.9837523128806902,0.9391059474793394,0.12085982102052129,0.34897738420900265,0.35770052795309637,1.0
75,substitution_1pct,ck5,CK5,512,200,1.0,0.9589170911790387,0.8765368400183148,0.2078415017572973,0.4969168107870029,0.5861543389634347,1.0
75,N_3pct,ck5,CK5,512,200,1.0,0.9467628859566294,0.9275553545798265,0.3234676262580987,0.3806431585623858,0.5831085031572986,1.0
75,trim_5bp,ck5,CK5,512,200,1.0,0.9713983485786781,0.961589902569164,0.2379105145701314,0.27716387163867434,0.6010356410577464,1.0
75,substitution_1pct_N_3pct,ck5,CK5,512,200,1.0,0.9118602940515622,0.8364352888140448,0.40836280203242303,0.5719485279408172,0.5497399058543259,1.0
75,local_mismatch_6bp,ck5,CK5,512,200,1.0,0.8898966602907689,0.8618314405689893,0.46666163080150375,0.525677697532802,0.526334998572937,1.0
75,short_indel,ck5,CK5,512,200,1.0,0.9691016293758176,0.8903101088052662,0.1678387097853286,0.4683799551533644,0.5978501186392408,1.0
75,substitution_1pct,ck4p_msp,CK4P-MSP,222,200,1.0,0.9920911165348801,0.9755954484605843,0.09088697447254901,0.2209209445314456,0.11868867839973682,1.0
75,N_3pct,ck4p_msp,CK4P-MSP,222,200,1.0,0.9892981853795857,0.9844894341225064,0.14502207552021307,0.17612809663489098,0.11975300230477988,1.0
75,trim_5bp,ck4p_msp,CK4P-MSP,222,200,1.0,0.9931557638193411,0.9903453969180982,0.1160449290414903,0.13895756965208056,0.1207715579489198,1.0
75,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,200,1.0,0.9824219484071061,0.963687146754141,0.18205063744019725,0.2694905918875903,0.11310076305553877,1.0
75,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,200,1.0,0.9768072548665211,0.9683118514748144,0.21357423932597427,0.25174648198782057,0.10605227854986136,1.0
