length,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,ck5,CK5,512,500,0.998,0.870193611918196,0.7262864006593382,0.46220676243802933,0.7368463392522858,0.483594607725634,0.998
69,ck4p_msp,CK4P-MSP,222,500,1.0,0.9749647699613361,0.9424237158713195,0.204143840035956,0.33934136051371167,0.09812110222314872,1.0
69,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9725096776349735,0.93837078146643,0.21419501892326825,0.3510817358290053,0.11219946924010744,1.0
69,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,500,0.998,0.9762782883830466,0.9494545786423177,0.19003464159496433,0.31537472961718616,0.09394261101034866,0.998
69,pseeiip,PseEIIP,64,500,0.998,0.9571293337838911,0.9042780556756947,0.2594482448183314,0.43425089263531647,0.17435850711379577,0.998
69,ncp_anf,NCP+ANF,276,500,1.0,0.9779041001019707,0.9508335854512475,0.1930542832251856,0.31357949512237043,0.3136402974529403,1.0
75,ck4,CK4,136,500,0.998,0.9194572053489343,0.8253614004996704,0.3694753464533179,0.5896657740062933,0.26925068010088293,0.998
75,ck5,CK5,512,500,0.998,0.8609459083123284,0.7023859624195273,0.4906333722613715,0.7653447461018492,0.4675274761701346,0.998
75,ck4p_msp,CK4P-MSP,222,500,1.0,0.9735305272373127,0.9417139233235581,0.21465544555962493,0.34142661421571174,0.09318143920352252,1.0
75,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9709021502957788,0.9372291787990248,0.22545200320717634,0.35431854932129664,0.10724728236690109,1.0
75,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,500,0.998,0.9758460159192103,0.951719502265972,0.19635238041048225,0.30662135014562397,0.08761646425145997,0.998
75,pseeiip,PseEIIP,64,500,0.998,0.9554955301099005,0.9055113503365733,0.2713606302774288,0.4344009078954745,0.16701252811339443,0.998
75,ncp_anf,NCP+ANF,300,500,1.0,0.975968447406744,0.9495663647767436,0.20614011802424062,0.31759604714215717,0.32309042136940225,1.0
100,ck4,CK4,136,500,0.996,0.8849728471567498,0.7998112467571947,0.4636060215720829,0.6320262379452194,0.19584059767822212,0.996
100,ck5,CK5,512,500,0.998,0.7890040489940938,0.6482325216908079,0.6331235490050783,0.8383606837005356,0.3682568354062918,0.998
100,ck4p_msp,CK4P-MSP,222,500,0.998,0.9618469754267828,0.9327488558833478,0.26936707523896986,0.36674504823121673,0.06791814489577891,0.998
100,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9576865094478652,0.9263788608771639,0.2841257249400565,0.3837211406100907,0.08044738799171651,1.0
100,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,500,0.992,0.9669910190522496,0.9419346361852167,0.2418496262014201,0.33894242529754215,0.057034797016069026,0.992
100,pseeiip,PseEIIP,64,500,0.99,0.9367195761243964,0.8829329679163771,0.3394794959587798,0.4799382738895105,0.11379431424044847,0.99
100,ncp_anf,NCP+ANF,400,500,1.0,0.9577966285157369,0.9282900203026027,0.28462924710772564,0.37870819003659756,0.3177783918302765,1.0
125,ck4,CK4,136,500,0.998,0.9949332536819043,0.9830584318747357,0.03487899580100345,0.1833762922574405,0.26590722969257896,0.998
125,ck5,CK5,512,500,0.998,0.9916526622517379,0.967114254427095,0.05055045267358979,0.25569289519849897,0.5324507022078105,0.998
125,ck4p_msp,CK4P-MSP,222,500,1.0,0.9989743528691272,0.9943799040014626,0.02017992492000087,0.10601975156426656,0.09178788038861252,1.0
125,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9988014623382601,0.9937865877231778,0.021824933758151196,0.11147563950192294,0.10845081177340128,1.0
125,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,500,0.998,0.9972789458982532,0.9964115776151472,0.017024709962268073,0.08454658460885038,0.07432502498271905,0.998
125,pseeiip,PseEIIP,64,500,0.998,0.9964774329877658,0.9912891919635975,0.024598550140665927,0.1316420449102922,0.15126674700289625,0.998
125,ncp_anf,NCP+ANF,500,500,1.0,0.9988179830476122,0.9944156306552349,0.02191511456667992,0.10568217713233924,0.3667869209798348,1.0
150,ck4,CK4,136,500,1.0,0.9967464348412781,0.9866682994972741,0.04273498429311277,0.16328928463806655,0.24074904184200546,1.0
150,ck5,CK5,512,500,1.0,0.9929235563715829,0.9728193885236077,0.06305186239183652,0.2331548998093948,0.503941526487126,1.0
150,ck4p_msp,CK4P-MSP,222,500,1.0,0.9989122150282226,0.9955502493570503,0.02471207315367242,0.09433714249503161,0.0814308986773932,1.0
150,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9987564861938525,0.9946527573217578,0.026430919902736747,0.10341411807054883,0.0985171218685608,1.0
150,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,500,1.0,0.9992650581452934,0.9971826884748866,0.020404652964046997,0.07506408982612668,0.06506313635739838,1.0
150,pseeiip,PseEIIP,64,500,1.0,0.9984693763616235,0.993595987615834,0.029297216915032943,0.11317248573624399,0.1351903947178476,1.0
150,ncp_anf,NCP+ANF,600,500,1.0,0.9986294288881151,0.9951845040000881,0.027996197835898882,0.09813760665766942,0.37136869298978725,1.0
