length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,N_3pct,ck4,CK4,136,500,1.0,0.9694039281291187,0.9561828874675148,0.2449236892584159,0.29603078398195376,0.337453070749107,1.0
75,trim_5bp,ck4,CK4,136,500,1.0,0.9798766912928972,0.9730408576407754,0.199205347338637,0.23220311091466236,0.34244108542532636,1.0
75,substitution_1pct_N_3pct,ck4,CK4,136,500,1.0,0.9456848248148829,0.8787273885932658,0.3170195990325791,0.49248867781609745,0.31435728626971815,1.0
75,local_mismatch_6bp,ck4,CK4,136,500,1.0,0.9301292266434028,0.9062499999999991,0.37114678726565353,0.43301270189221924,0.29587122353099743,1.0
75,short_indel,ck4,CK4,136,500,1.0,0.9838984671179665,0.943786343593946,0.1235539071337852,0.3353017840059345,0.3433335981628238,1.0
75,substitution_1pct,ck5,CK5,512,500,1.0,0.960389713101065,0.8744973800804522,0.1978161773211263,0.5010040979572262,0.5776782589347342,1.0
75,N_3pct,ck5,CK5,512,500,1.0,0.9459313817524381,0.9275553545798265,0.32621975811988135,0.38064315856238573,0.5681957751654424,1.0
75,trim_5bp,ck5,CK5,512,500,1.0,0.9710341107375549,0.9619449617207966,0.23971097528203672,0.27588021554577075,0.5891665691570287,1.0
75,substitution_1pct_N_3pct,ck5,CK5,512,500,1.0,0.9056510033926374,0.8025461691560796,0.42023631980174986,0.6284167635727381,0.5320991156432954,1.0
75,local_mismatch_6bp,ck5,CK5,512,500,1.0,0.889088474340981,0.8618314405689894,0.4687141332328017,0.5256776975328022,0.5159706766843708,1.0
75,short_indel,ck5,CK5,512,500,1.0,0.9698703059388764,0.8980708808175001,0.17006466479839288,0.45150654176727156,0.5863016384699788,1.0
75,substitution_1pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9926033283455149,0.9758361991845608,0.08526495838550383,0.21983539218807177,0.11446158473442267,1.0
