length,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
125,ck5,CK5,512,2000,0.9985,0.99398194087566,0.967118495533416,0.04790939659473154,0.2564429602261585,0.4989444943032374,0.997
125,ck4p_msp,CK4P-MSP,222,2000,0.9985,0.9990229810685445,0.9945656537874703,0.01918893849748751,0.10425299589386683,0.0824849229437002,0.997
125,candidate_pkm_replace,PKM replace (222D),222,2000,0.9985,0.9961874060396604,0.9769554557473448,0.03669414894611222,0.21468284479510316,0.2604712116850749,0.997
125,candidate_cpkm_replace,CPKM replace (222D),222,2000,0.9985,0.9955948494531405,0.9733280531197392,0.03924092904634235,0.23096290360008134,0.32101178680757275,0.997
125,candidate_pkm_augment,PKM augmentation screen (297D),297,2000,0.9985,0.9971384432968137,0.9827048579599076,0.031792769904571465,0.18598386357302826,0.1962192839552931,0.997
125,candidate_cpkm_augment,CPKM augmentation screen (297D),297,2000,0.9985,0.9966940258569237,0.9799858287085543,0.03399665078695665,0.2000707837449769,0.24161159122767953,0.997
125,candidate_dual_augment,PKM-CPKM upper screen (372D),372,2000,0.9985,0.9956521866818631,0.9723453522005918,0.038904433958038415,0.23517918032895835,0.3190664765939517,0.997
150,ck4,CK4,136,2000,0.999,0.9956968416868712,0.9865312085305625,0.04299951014785192,0.16328461770225153,0.22000498744825575,0.999
150,ck5,CK5,512,2000,0.999,0.9917684629721231,0.9710768993704509,0.06371414868160885,0.2403477284359015,0.47672234757469506,0.999
150,ck4p_msp,CK4P-MSP,222,2000,0.9995,0.998875665940052,0.9955007769334424,0.025062898821455952,0.0948601331178313,0.07451461245013827,0.999
150,candidate_pkm_replace,PKM replace (222D),222,2000,0.9995,0.9957639257270167,0.9788845831122528,0.047268578912911335,0.20550140920975268,0.2497068129461511,0.999
150,candidate_cpkm_replace,CPKM replace (222D),222,2000,0.9995,0.9952501027904775,0.9745993797483024,0.04968468419268724,0.22539124057238905,0.30943155815523943,0.999
150,candidate_pkm_augment,PKM augmentation screen (297D),297,2000,0.9995,0.9968289419547631,0.9842258828641814,0.04091538069892549,0.17761820568475215,0.18799594656973692,0.999
150,candidate_cpkm_augment,CPKM augmentation screen (297D),297,2000,0.9995,0.9964435747523588,0.9809452995249683,0.04300666236406385,0.1952162182293378,0.23278611775264754,0.999
150,candidate_dual_augment,PKM-CPKM upper screen (372D),372,2000,0.9995,0.9952926138016663,0.974905072336372,0.049417138609997566,0.22403080715248522,0.3128528057713551,0.999
