length,fold,representation,representation_label,n_features,macro_f1,accuracy
100,5,ck5,CK5,512,0.5694123335902201,0.5740740740740741
100,1,ck4p_msp,CK4P-MSP,222,0.7405779405779406,0.746031746031746
100,2,ck4p_msp,CK4P-MSP,222,0.6795648795648797,0.7222222222222222
100,3,ck4p_msp,CK4P-MSP,222,0.7370141038871689,0.7407407407407407
100,4,ck4p_msp,CK4P-MSP,222,0.6419385893070103,0.6481481481481481
100,5,ck4p_msp,CK4P-MSP,222,0.5565697543385171,0.5555555555555556
100,1,candidate_pkm_replace,PKM replace (222D),222,0.7494579945799459,0.746031746031746
100,2,candidate_pkm_replace,PKM replace (222D),222,0.7533420517291485,0.7592592592592593
100,3,candidate_pkm_replace,PKM replace (222D),222,0.7586300586300587,0.7592592592592593
100,4,candidate_pkm_replace,PKM replace (222D),222,0.6855865153078775,0.6851851851851852
100,5,candidate_pkm_replace,PKM replace (222D),222,0.6846118564384819,0.6851851851851852
100,1,candidate_cpkm_replace,CPKM replace (222D),222,0.7805286911669892,0.7777777777777778
100,2,candidate_cpkm_replace,CPKM replace (222D),222,0.843433677580019,0.8518518518518519
100,3,candidate_cpkm_replace,CPKM replace (222D),222,0.7473684210526316,0.7592592592592593
100,4,candidate_cpkm_replace,CPKM replace (222D),222,0.7686573670444639,0.7777777777777778
100,5,candidate_cpkm_replace,CPKM replace (222D),222,0.7053524112347643,0.7037037037037037
100,1,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7494579945799459,0.746031746031746
100,2,candidate_pkm_augment,PKM augmentation screen (297D),297,0.735937860937861,0.7407407407407407
100,3,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7393483709273183,0.7407407407407407
100,4,candidate_pkm_augment,PKM augmentation screen (297D),297,0.6855865153078775,0.6851851851851852
100,5,candidate_pkm_augment,PKM augmentation screen (297D),297,0.6846118564384819,0.6851851851851852
100,1,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.7805286911669892,0.7777777777777778
100,2,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8219056494918564,0.8333333333333334
100,3,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.7647110525159305,0.7777777777777778
100,4,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.7686573670444639,0.7777777777777778
100,5,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.7246875358330467,0.7222222222222222
100,1,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.7327561327561328,0.7301587301587301
100,2,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8502621561445091,0.8518518518518519
100,3,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.7949874686716791,0.7962962962962963
100,4,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.7568627450980392,0.7592592592592593
100,5,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.6851851851851852,0.6851851851851852
150,1,ck4,CK4,136,0.6933706816059756,0.7142857142857143
150,2,ck4,CK4,136,0.7006631299734748,0.7222222222222222
150,3,ck4,CK4,136,0.7217635592248595,0.7222222222222222
150,4,ck4,CK4,136,0.7434228486860066,0.7407407407407407
150,5,ck4,CK4,136,0.5829994192799072,0.5925925925925926
150,1,ck5,CK5,512,0.7602487061659914,0.7619047619047619
150,2,ck5,CK5,512,0.7407555911966498,0.7592592592592593
150,3,ck5,CK5,512,0.7010310803414251,0.7222222222222222
150,4,ck5,CK5,512,0.7735294117647059,0.7777777777777778
150,5,ck5,CK5,512,0.6144039397383222,0.6296296296296297
150,1,ck4p_msp,CK4P-MSP,222,0.6562118437118437,0.6825396825396826
150,2,ck4p_msp,CK4P-MSP,222,0.7242690058479533,0.7407407407407407
150,3,ck4p_msp,CK4P-MSP,222,0.6914648716379638,0.7037037037037037
150,4,ck4p_msp,CK4P-MSP,222,0.6294880246099759,0.6481481481481481
150,5,ck4p_msp,CK4P-MSP,222,0.5829994192799072,0.5925925925925926
150,1,candidate_pkm_replace,PKM replace (222D),222,0.6297979797979798,0.6349206349206349
150,2,candidate_pkm_replace,PKM replace (222D),222,0.7640350877192983,0.7777777777777778
150,3,candidate_pkm_replace,PKM replace (222D),222,0.7195052195052195,0.7222222222222222
150,4,candidate_pkm_replace,PKM replace (222D),222,0.7605538230538231,0.7592592592592593
150,5,candidate_pkm_replace,PKM replace (222D),222,0.49793487239685225,0.5
150,1,candidate_cpkm_replace,CPKM replace (222D),222,0.7797101449275363,0.7777777777777778
150,2,candidate_cpkm_replace,CPKM replace (222D),222,0.7129702479820498,0.7222222222222222
150,3,candidate_cpkm_replace,CPKM replace (222D),222,0.7807017543859649,0.7962962962962963
